term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;pt-PT;pt-PT_description
Goal progress;;no;yes;no;;Goal progress;;Progresso do objetivo;
Goal status;;no;yes;no;;Goal status;;Estado do objetivo;
Goal tags;;no;yes;no;;Goal tags;;Etiquetas de objetivos;
Goal title;;no;yes;no;;Goal title;;Título do objetivo;
Goal tracking status;;no;yes;no;;Goal tracking status;;Estado de monitorização do objetivo;
Goal type;;no;yes;no;;Goal type;;Tipo de objetivo;
Goal type weight;;no;yes;no;;Goal type weight;;Peso do tipo de objetivo;
Goal types;;no;yes;no;;Goal types;;Tipos de objetivo;
Goal weight;;no;yes;no;;Goal weight;;Peso objetivo;
Goal workflow;;no;yes;no;;Goal workflow;;Fluxo de trabalho do objetivo;
Goals;;no;yes;no;;Goals;;Objetivos;
Goals aligned with this goal;;no;yes;no;;Goals aligned with this goal;;Objetivos alinhados com este objetivo;
Grade;;no;yes;no;;Grade;;Ano;
Grant date;;no;yes;no;;Grant date;;Data de concessão;
Grant proxy access;;no;yes;no;;Grant proxy access;;Conceder acesso de representação;
Grants;;no;yes;no;;Grants;;Subvenções;
Greater than;;no;yes;no;;Greater than;;Maior que;
Greater than or equal to;;no;yes;no;;Greater than or equal to;;Maior ou igual a;
Group name;;no;yes;no;;Group name;;Nome do grupo;
Groups;;no;yes;no;;Groups;;Grupos;
Guaranteed amount;;no;yes;no;;Guaranteed amount;;Montante garantido;
Guaranteed amount rule;;no;yes;no;;Guaranteed amount rule;;Regra de montante garantido;
Guaranteed amounts;;no;yes;no;;Guaranteed amounts;;Montantes garantidos;
Guideline;;no;yes;no;;Guideline;;Diretriz;
Guidelines;;no;yes;no;;Guidelines;;Diretrizes;
HRBP approval;;no;yes;no;;HRBP approval;;Aprovação do HRBP;
HRBP review;;no;yes;no;;HRBP review;;Avaliação de HRBP;
Help;;no;yes;no;;Help;;Ajuda;
Help tip;;no;yes;no;;Help tip;;Dica de ajuda;
Helpful;;no;yes;no;;Helpful;;Útil;
Hide;;no;yes;no;;Hide;;Ocultar;
Hierarchy;;no;yes;no;;Hierarchy;;Hierarquia;
High;;no;yes;no;;High;;Elevada;
Historical Reviews;;no;yes;no;;Historical Reviews;;Avaliações históricas;
Historical compensation;;no;yes;no;;Historical compensation;;Compensação histórica;
Home;;no;yes;no;;Home;;Início;
Identifier;;no;yes;no;;Identifier;;Identificador;
Image;;no;yes;no;;Image;;Imagem;
Import;;no;yes;no;;Import;;Importar;
In progress;;no;yes;no;;In progress;;Em progresso;
In use;;no;yes;no;;In use;;Em uso;
Inactive;;no;yes;no;;Inactive;;Inativo;
Include;;no;yes;no;;Include;;Incluir;
Included;;no;yes;no;;Included;;Incluído;
Individual;;no;yes;no;;Individual;;Indivíduo;
Individual goal;;no;yes;no;;Individual goal;;Objetivo individual;
Individual goals;;no;yes;no;;Individual goals;;Objetivos individuais;
Individual view;;no;yes;no;;Individual view;;Vista individual;
Individual workers;;no;yes;no;;Individual workers;;Trabalhadores individuais;
Individuals;;no;yes;no;;Individuals;;Indivíduos;
Ingestion;;no;yes;no;;Ingestion;;Ingestão;
Input;;no;yes;no;;Input;;Entrada;
Insightful;;no;yes;no;;Insightful;;Perspicaz;
Insights;;no;yes;no;;Insights;;Perceções;
Inspiring;;no;yes;no;;Inspiring;;Inspirador;
Instant messaging address;;no;yes;no;;Instant messaging address;;Endereço de mensagens instantâneas;
Integer;;no;yes;no;;Integer;;Número inteiro;
Is PII;;no;yes;no;;Is PII;;É PII;
Is completed;;no;yes;no;;Is completed;;Está concluído;
Is enabled;;no;yes;no;;Is enabled;;Está ativado;
Is read;;no;yes;no;;Is read;;Foi lido;
Is required;;no;yes;no;;Is required;;É obrigatório;
Job code;;no;yes;no;;Job code;;Código de trabalho;
Job level;;no;yes;no;;Job level;;Nível de cargo;
Job title;;no;yes;no;;Job title;;Cargo;
Key dates;;no;yes;no;;Key dates;;Datas principais;
Key deliverables;;no;yes;no;;Key deliverables;;Principais entregas;
Label;;no;yes;no;;Label;;Etiqueta;
Language;;no;yes;no;;Language;;Idioma;
Language code;;no;yes;no;;Language code;;Código de idioma;
Languages;;no;yes;no;;Languages;;Idiomas;
Last edited;;no;yes;no;;Last edited;;Última edição;
Last update;;no;yes;no;;Last update;;Última actualização;
Last updated;;no;yes;no;;Last updated;;Última atualização;
Learning;;no;yes;no;;Learning;;Aprendizagem;
Leave of absence;;no;yes;no;;Leave of absence;;Licença de ausência;
Legal Entity;;no;yes;no;;Legal Entity;;Entidade legal;
Legal entity;;no;yes;no;;Legal entity;;Entidade jurídica;
Less than;;no;yes;no;;Less than;;Menos de;
Less than or equal to;;no;yes;no;;Less than or equal to;;Menor ou igual a;
Let's meet;;no;yes;no;;Let's meet;;Vamos encontrar-nos;
Level;;no;yes;no;;Level;;Nível;
Library details;;no;yes;no;;Library details;;Detalhes da biblioteca;
Library name;;no;yes;no;;Library name;;Nome da biblioteca;
Limit;;no;yes;no;;Limit;;Limite;
Line manager;;no;yes;no;;Line manager;;Gestor direto;
Linear curve;;no;yes;no;;Linear curve;;Curva linear;
Link;;no;yes;no;;Link;;Ligação;
Local time;;no;yes;no;;Local time;;Hora local;
Local worker category;;no;yes;no;;Local worker category;;Categoria de trabalhador local;
Localization;;no;yes;no;;Localization;;Localização;
Location;;no;yes;no;;Location;;Localização;
Locations;;no;yes;no;;Locations;;Localizações;
Logins;;no;yes;no;;Logins;;Inícios de Sessão;
Logins over time;;no;yes;no;;Logins over time;;Inícios de sessão ao longo do tempo;
Logout;;no;yes;no;;Logout;;Terminar sessão;
Low;;no;yes;no;;Low;;Baixa;
Main;;no;yes;no;;Main;;Principal;
Main currency;;no;yes;no;;Main currency;;Moeda principal;
Main group;;no;yes;no;;Main group;;Grupo principal;
Male;;no;yes;no;;Male;;Masculino;
Manage;;no;yes;no;;Manage;;Gerir;
Manage users;;no;yes;no;;Manage users;;Gerir utilizadores;
Manager;;no;yes;no;;Manager;;Gestor;
Manager + 1;;no;yes;no;;Manager + 1;;Gestor + 1;
Manager ID;;no;yes;no;;Manager ID;;ID do gestor;
Manager feedback;;no;yes;no;;Manager feedback;;Feedback do gestor;
Manager name;;no;yes;no;;Manager name;;Nome do gestor;
Manager proposal;;no;yes;no;;Manager proposal;;Proposta do gestor;
Manager review;;no;yes;no;;Manager review;;Avaliação do gestor;
Manager+1;;no;yes;no;;Manager+1;;Gestor+1;
Managers;;no;yes;no;;Managers;;Gestores;
Mandatory;;no;yes;no;;Mandatory;;Obrigatório;
Manually;;no;yes;no;;Manually;;Manualmente;
Mapping configuration;;no;yes;no;;Mapping configuration;;Configuração de mapeamento;
Max target;;no;yes;no;;Max target;;Meta máxima;
Max. score;;no;yes;no;;Max. score;;Pontuação máx.;
Maximum;;no;yes;no;;Maximum;;Máximo;
Maximum outcome;;no;yes;no;;Maximum outcome;;Resultado máximo;
Maximum payout;;no;yes;no;;Maximum payout;;Pagamento máximo;
Measurement;;no;yes;no;;Measurement;;Medição;
Measurement criteria;;no;yes;no;;Measurement criteria;;Critérios de medição;
Medium;;no;yes;no;;Medium;;Média;
Message;;no;yes;no;;Message;;Mensagem;
Min target;;no;yes;no;;Min target;;Alvo mínimo;
Minimum;;no;yes;no;;Minimum;;Mínimo;
Minimum outcome;;no;yes;no;;Minimum outcome;;Resultado mínimo;
Model;;no;yes;no;;Model;;Modelo;
Model description;;no;yes;no;;Model description;;Descrição do modelo;
Model details;;no;yes;no;;Model details;;Detalhes do modelo;
Model features;;no;yes;no;;Model features;;Funcionalidades do modelo;
Model name;;no;yes;no;;Model name;;Nome do modelo;
Model type;;no;yes;no;;Model type;;Tipo de modelo;
Models;;no;yes;no;;Models;;Modelos;
Moderation;;no;yes;no;;Moderation;;Moderação;
Moderation stage;;no;yes;no;;Moderation stage;;Etapa de moderação;
Month;;no;yes;no;;Month;;Mês;
Months;;no;yes;no;;Months;;Meses;
More;;no;yes;no;;More;;Mais;
More details;;no;yes;no;;More details;;Mais detalhes;
Move reviews;;no;yes;no;;Move reviews;;Mover avaliações;
Multiple;;no;yes;no;;Multiple;;Múltiplos;
My behavior profile;;no;yes;no;;My behavior profile;;O meu perfil de comportamento;
My feedback;;no;yes;no;;My feedback;;O meu feedback;
My goal;;no;yes;no;;My goal;;O meu objetivo;
My goals;;no;yes;no;;My goals;;Os meus objetivos;
My note;;no;yes;no;;My note;;A minha nota;
My review;;no;yes;no;;My review;;A minha avaliação;
My reviews;;no;yes;no;;My reviews;;As minhas avaliações;
Name;;no;yes;no;;Name;;Nome;
New manager;;no;yes;no;;New manager;;Novo gestor;
New password;;no;yes;no;;New password;;Nova palavra-passe;
Next;;no;yes;no;;Next;;Seguinte;
Next step;;no;yes;no;;Next step;;Próximo passo;
Nickname;;no;yes;no;;Nickname;;Alcunha;
No career development plans;;no;yes;no;;No career development plans;;Nenhum plano de desenvolvimento de carreira;
No check-ins;;no;yes;no;;No check-ins;;Sem check-ins;
No comments yet;;no;yes;no;;No comments yet;;Ainda sem comentários;
No compensation rounds;;no;yes;no;;No compensation rounds;;Sem rondas de compensação;
No data;;no;yes;no;;No data;;Sem dados;
No description;;no;yes;no;;No description;;Sem descrição;
No documents;;no;yes;no;;No documents;;Sem documentos;
No feedback;;no;yes;no;;No feedback;;Sem feedback;
No goals;;no;yes;no;;No goals;;Sem objetivos;
No goals yet;;no;yes;no;;No goals yet;;Ainda não há objetivos;
No messages yet;;no;yes;no;;No messages yet;;Ainda não há mensagens;
No notes;;no;yes;no;;No notes;;Sem notas;
No populations;;no;yes;no;;No populations;;Sem populações;
No populations yet;;no;yes;no;;No populations yet;;Ainda não há populações;
No priority;;no;yes;no;;No priority;;Sem prioridade;
No questions;;no;yes;no;;No questions;;Sem perguntas;
No results;;no;yes;no;;No results;;Sem resultados;
No results found;;no;yes;no;;No results found;;Nenhum resultado encontrado;
No value;;no;yes;no;;No value;;Sem valor;
Non-conditional;;no;yes;no;;Non-conditional;;Não condicional;
None;;no;yes;no;;None;;Nenhum;
Not completed;;no;yes;no;;Not completed;;Não concluído;
Not empty;;no;yes;no;;Not empty;;Não vazio;
Not released;;no;yes;no;;Not released;;Não disponibilizado;
Not selected;;no;yes;no;;Not selected;;Não selecionado;
Not started;;no;yes;no;;Not started;;Não iniciado;
Not submitted;;no;yes;no;;Not submitted;;Não submetido;
Note;;no;yes;no;;Note;;Nota;
Notes;;no;yes;no;;Notes;;Notas;
Notification bell;;no;yes;no;;Notification bell;;Sino de notificações;
Notifications;;no;yes;no;;Notifications;;Notificações;
Nudge;;no;yes;no;;Nudge;;Lembrete;
Number;;no;yes;no;;Number;;Número;
Number of days;;no;yes;no;;Number of days;;Número de dias;
Number of years;;no;yes;no;;Number of years;;Número de anos;
Numeric;;no;yes;no;;Numeric;;Numérico;
Observations;;no;yes;no;;Observations;;Observações;
On track;;no;yes;no;;On track;;No caminho certo;
Open;;no;yes;no;;Open;;Abrir;
Operator;;no;yes;no;;Operator;;Operador;
Optional;;no;yes;no;;Optional;;Opcional;
Organization;;no;yes;no;;Organization;;Organização;
Organization external ID;;no;yes;no;;Organization external ID;;ID externo da organização;
Organizational;;no;yes;no;;Organizational;;Organizacional;
Organizational Units;;no;yes;no;;Organizational Units;;Unidades organizacionais;
Organizational goal;;no;yes;no;;Organizational goal;;Objetivo organizacional;
Organizational unit;;no;yes;no;;Organizational unit;;Unidade organizacional;
Other;;no;yes;no;;Other;;Outro;
Outcome;;no;yes;no;;Outcome;;Resultado;
Overall behavior rating;;no;yes;no;;Overall behavior rating;;Classificação geral de comportamento;
Overall performance;;no;yes;no;;Overall performance;;Desempenho geral;
Overall performance rating;;no;yes;no;;Overall performance rating;;Classificação geral de desempenho;
Overall progress;;no;yes;no;;Overall progress;;Progresso geral;
Overdue;;no;yes;no;;Overdue;;Atrasado;
Overview;;no;yes;no;;Overview;;Visão geral;
Owner;;no;yes;no;;Owner;;Proprietário;
Owners;;no;yes;no;;Owners;;Proprietários;
Participant;;no;yes;no;;Participant;;Participante;
Participants;;no;yes;no;;Participants;;Participantes;
Passport;;no;yes;no;;Passport;;Passaporte;
Password;;no;yes;no;;Password;;Palavra-passe;
Past;;no;yes;no;;Past;;Passado;
Pay Analysis;;no;yes;no;;Pay Analysis;;Análise Salarial;
Pay Information;;no;yes;no;;Pay Information;;Informações de Remuneração;
Pay Intelligence;;no;yes;no;;Pay Intelligence;;Inteligência salarial;
Pay Transparency;;no;yes;no;;Pay Transparency;;Transparência salarial;
Pay analysis;;no;yes;no;;Pay analysis;;Análise de remuneração;
Pay information;;no;yes;no;;Pay information;;Informações de remuneração;
Pay information requests;;no;yes;no;;Pay information requests;;Pedidos de informação salarial;
Pay range;;no;yes;no;;Pay range;;Intervalo salarial;
Payout;;no;yes;no;;Payout;;Pagamento;
Payout Curves;;no;yes;no;;Payout Curves;;Curvas de Pagamento;
Payout curve;;no;yes;no;;Payout curve;;Curva de pagamento;
Payout curves;;no;yes;no;;Payout curves;;Curvas de pagamento;
Payroll;;no;yes;no;;Payroll;;Folha de Pagamento;
Payroll data drop;;no;yes;no;;Payroll data drop;;Entrega de dados de folha de pagamento;
Peers;;no;yes;no;;Peers;;Pares;
Pending;;no;yes;no;;Pending;;Pendente;
Pending approval;;no;yes;no;;Pending approval;;Aprovação pendente;
Pending confirmation;;no;yes;no;;Pending confirmation;;A aguardar confirmação;
Pending draft;;no;yes;no;;Pending draft;;Rascunho pendente;
Pending publishing;;no;yes;no;;Pending publishing;;Publicação pendente;
Pending sign-off;;no;yes;no;;Pending sign-off;;Pendente de aprovação;
People;;no;yes;no;;People;;Pessoas;
People day;;no;yes;no;;People day;;Dia de pessoas;
Percentage;;no;yes;no;;Percentage;;Percentagem;
Performance;;no;yes;no;;Performance;;Desempenho;
Performance Management;;no;yes;no;;Performance Management;;Gestão de desempenho;
Performance Reviews;;no;yes;no;;Performance Reviews;;Avaliações de desempenho;
Performance check-ins;;no;yes;no;;Performance check-ins;;Check-ins de desempenho;
Performance rating;;no;yes;no;;Performance rating;;Classificação de desempenho;
Performance review;;no;yes;no;;Performance review;;Avaliação de desempenho;
Performance review details;;no;yes;no;;Performance review details;;Detalhes da avaliação de desempenho;
Performance review templates;;no;yes;no;;Performance review templates;;Modelos de avaliação de desempenho;
Period;;no;yes;no;;Period;;Período;
Period start date;;no;yes;no;;Period start date;;Data de início do período;
Personal;;no;yes;no;;Personal;;Pessoal;
Personally identifiable information;;no;yes;no;;Personally identifiable information;;Informação pessoalmente identificável;
Phone number;;no;yes;no;;Phone number;;Número de telefone;
Plan;;no;yes;no;;Plan;;Plano;
Plan details;;no;yes;no;;Plan details;;Detalhes do plano;
Plan name;;no;yes;no;;Plan name;;Nome do plano;
Plan stage;;no;yes;no;;Plan stage;;Fase do plano;
Plan transmission;;no;yes;no;;Plan transmission;;Planear transmissão;
Planner;;no;yes;no;;Planner;;Planeador;
Plans;;no;yes;no;;Plans;;Planos;
Population;;no;yes;no;;Population;;População;
Population criteria;;no;yes;no;;Population criteria;;Critérios de população;
Populations;;no;yes;no;;Populations;;Populações;
Position in pay range;;no;yes;no;;Position in pay range;;Posição na faixa salarial;
Preview;;no;yes;no;;Preview;;Pré-visualização;
Preview document;;no;yes;no;;Preview document;;Pré-visualizar documento;
Previous;;no;yes;no;;Previous;;Anterior;
Priority;;no;yes;no;;Priority;;Prioridade;
Privacy;;no;yes;no;;Privacy;;Privacidade;
Privacy settings;;no;yes;no;;Privacy settings;;Configurações de privacidade;
Privacy statement text;;no;yes;no;;Privacy statement text;;Texto da declaração de privacidade;
Private;;no;yes;no;;Private;;Privado;
Proceed;;no;yes;no;;Proceed;;Prosseguir;
Processing;;no;yes;no;;Processing;;Processamento;
Professional;;no;yes;no;;Professional;;Profissional;
Progress;;no;yes;no;;Progress;;Progresso;
Progress tracking;;no;yes;no;;Progress tracking;;Monitorização de progresso;
Properties;;no;yes;no;;Properties;;Propriedades;
Proposal management;;no;yes;no;;Proposal management;;Gestão de propostas;
Prorated target bonus;;no;yes;no;;Prorated target bonus;;Bónus objetivo proporcional;
Proxy;;no;yes;no;;Proxy;;Representação;
Proxy access list;;no;yes;no;;Proxy access list;;Lista de acesso de representação;
Proxy permission;;no;yes;no;;Proxy permission;;Permissão de representação;
Public;;no;yes;no;;Public;;Público;
Public feedback;;no;yes;no;;Public feedback;;Feedback público;
Publish;;no;yes;no;;Publish;;Publicar;
Published;;no;yes;no;;Published;;Publicado;
Published date;;no;yes;no;;Published date;;Data de publicação;
Publishing;;no;yes;no;;Publishing;;Publicação;
Purpose;;no;yes;no;;Purpose;;Finalidade;
Question;;no;yes;no;;Question;;Questão;
Questions;;no;yes;no;;Questions;;Perguntas;
RTI request status;;no;yes;no;;RTI request status;;Estado do pedido RTI;
Range;;no;yes;no;;Range;;Intervalo;
Rate this feedback;;no;yes;no;;Rate this feedback;;Avalie este feedback;
Rating;;no;yes;no;;Rating;;Classificação;
Rating changed;;no;yes;no;;Rating changed;;Classificação alterada;
Rating distribution;;no;yes;no;;Rating distribution;;Distribuição de classificações;
Rating scale;;no;yes;no;;Rating scale;;Escala de classificação;
Rating scales;;no;yes;no;;Rating scales;;Escalas de classificação;
Read;;no;yes;no;;Read;;Ler;
Read only;;no;yes;no;;Read only;;Apenas para leitura;
Read status;;no;yes;no;;Read status;;Estado de leitura;
Read-only;;no;yes;no;;Read-only;;Apenas leitura;
Ready;;no;yes;no;;Ready;;Pronto;
Reassign;;no;yes;no;;Reassign;;Reatribuir;
Reassign manager;;no;yes;no;;Reassign manager;;Reatribuir gestor;
Reassigned;;no;yes;no;;Reassigned;;Reatribuído;
Received;;no;yes;no;;Received;;Recebido;
Received behaviors;;no;yes;no;;Received behaviors;;Comportamentos recebidos;
Received feedback;;no;yes;no;;Received feedback;;Feedback recebido;
Recipient;;no;yes;no;;Recipient;;Destinatário;
Recipients;;no;yes;no;;Recipients;;Destinatários;
Recognition;;no;yes;no;;Recognition;;Reconhecimento;
Recognized behaviors;;no;yes;no;;Recognized behaviors;;Comportamentos reconhecidos;
Recommended;;no;yes;no;;Recommended;;Recomendado;
Recurrence;;no;yes;no;;Recurrence;;Recorrência;
Recurring;;no;yes;no;;Recurring;;Recorrente;
Reference;;no;yes;no;;Reference;;Referência;
Reference number;;no;yes;no;;Reference number;;Número de referência;
Refresh;;no;yes;no;;Refresh;;Atualizar;
Region;;no;yes;no;;Region;;Região;
Regular check-ins;;no;yes;no;;Regular check-ins;;Check-ins regulares;
Reject;;no;yes;no;;Reject;;Rejeitar;
Rejected;;no;yes;no;;Rejected;;Rejeitado;
Relation;;no;yes;no;;Relation;;Relação;
Release;;no;yes;no;;Release;;Disponibilizar;
Release status;;no;yes;no;;Release status;;Estado de disponibilização;
Released;;no;yes;no;;Released;;Disponibilizado;
Remaining;;no;yes;no;;Remaining;;Restante;
Reminder name;;no;yes;no;;Reminder name;;Nome do lembrete;
Reminders;;no;yes;no;;Reminders;;Lembretes;
Remove;;no;yes;no;;Remove;;Remover;
Remove all;;no;yes;no;;Remove all;;Remover tudo;
Rename;;no;yes;no;;Rename;;Alterar o nome;
Reopen;;no;yes;no;;Reopen;;Reabrir;
Reopen reviews;;no;yes;no;;Reopen reviews;;Reabrir avaliações;
Reopened;;no;yes;no;;Reopened;;Reaberto;
Reply rate;;no;yes;no;;Reply rate;;Taxa de resposta;
Reports;;no;yes;no;;Reports;;Relatórios;
Republish;;no;yes;no;;Republish;;Republicar;
Republished round;;no;yes;no;;Republished round;;Ronda republicada;
Request;;no;yes;no;;Request;;Pedido;
Request ID;;no;yes;no;;Request ID;;ID do Pedido;
Request date;;no;yes;no;;Request date;;Data do pedido;
Request details;;no;yes;no;;Request details;;Detalhes do pedido;
Request feedback;;no;yes;no;;Request feedback;;Solicitar feedback;
Request feedback from;;no;yes;no;;Request feedback from;;Solicitar feedback de;
Request feedback now;;no;yes;no;;Request feedback now;;Solicitar feedback agora;
Request feedback on;;no;yes;no;;Request feedback on;;Solicitar feedback sobre;
Request pay information;;no;yes;no;;Request pay information;;Solicitar informações salariais;
Request status;;no;yes;no;;Request status;;Estado do pedido;
Requested;;no;yes;no;;Requested;;Solicitado;
Requested feedback;;no;yes;no;;Requested feedback;;Feedback solicitado;
Requests;;no;yes;no;;Requests;;Pedidos;
Requests about my team;;no;yes;no;;Requests about my team;;Pedidos sobre a minha equipa;
Required;;no;yes;no;;Required;;Obrigatório;
Resources;;no;yes;no;;Resources;;Recursos;
Response permission;;no;yes;no;;Response permission;;Permissão de resposta;
Resubmit;;no;yes;no;;Resubmit;;Reenviar;
Result;;no;yes;no;;Result;;Resultado;
Review;;no;yes;no;;Review;;Avaliação;
Review Details;;no;yes;no;;Review Details;;Detalhes de avaliação;
Review Status;;no;yes;no;;Review Status;;Estado da Avaliação;
Review about;;no;yes;no;;Review about;;Avaliação sobre;
Review challenge;;no;yes;no;;Review challenge;;Desafio da avaliação;
Review name;;no;yes;no;;Review name;;Nome da avaliação;
Review rating;;no;yes;no;;Review rating;;Classificação da avaliação;
Review rating distribution;;no;yes;no;;Review rating distribution;;Distribuição de classificações de avaliação;
Review settings;;no;yes;no;;Review settings;;Configurações de avaliação;
Review stage;;no;yes;no;;Review stage;;Etapa de avaliação;
Review stages;;no;yes;no;;Review stages;;Etapas da avaliação;
Review status;;no;yes;no;;Review status;;Estado da avaliação;
Review type;;no;yes;no;;Review type;;Tipo de avaliação;
Reviews;;no;yes;no;;Reviews;;Avaliações;
Role;;no;yes;no;;Role;;Função;
Roles;;no;yes;no;;Roles;;Funções;
Round;;no;yes;no;;Round;;Ronda;
Round code;;no;yes;no;;Round code;;Código da ronda;
Round details;;no;yes;no;;Round details;;Detalhes da ronda;
Round reminders;;no;yes;no;;Round reminders;;Lembretes de ronda;
Round republished;;no;yes;no;;Round republished;;Ronda republicada;
Round type;;no;yes;no;;Round type;;Tipo de ronda;
Round visibility;;no;yes;no;;Round visibility;;Visibilidade da ronda;
Rule configuration;;no;yes;no;;Rule configuration;;Configuração de regras;
Rule details;;no;yes;no;;Rule details;;Detalhes da regra;
Rule name;;no;yes;no;;Rule name;;Nome da regra;
Rules;;no;yes;no;;Rules;;Regras;
Salary;;no;yes;no;;Salary;;Salário;
Salary configuration;;no;yes;no;;Salary configuration;;Configuração salarial;
Save;;no;yes;no;;Save;;Guardar;
Save & exit;;no;yes;no;;Save & exit;;Guardar e sair;
Scale;;no;yes;no;;Scale;;Escala;
Search;;no;yes;no;;Search;;Pesquisar;
Search by name;;no;yes;no;;Search by name;;Pesquisar por nome;
Search by name or code;;no;yes;no;;Search by name or code;;Pesquisar por nome ou código;
Search for a person;;no;yes;no;;Search for a person;;Procurar uma pessoa;
Search for a worker;;no;yes;no;;Search for a worker;;Procurar um trabalhador;
Search for workers;;no;yes;no;;Search for workers;;Pesquisar por trabalhadores;
Secondary email;;no;yes;no;;Secondary email;;E-mail secundário;
Secondary email address;;no;yes;no;;Secondary email address;;Endereço de e-mail secundário;
Secondary hierarchy;;no;yes;no;;Secondary hierarchy;;Hierarquia secundária;
Section header;;no;yes;no;;Section header;;Cabeçalho da secção;
Security;;no;yes;no;;Security;;Segurança;
Security group;;no;yes;no;;Security group;;Grupo de segurança;
See all;;no;yes;no;;See all;;Ver tudo;
Select;;no;yes;no;;Select;;Selecionar;
Select all;;no;yes;no;;Select all;;Selecionar tudo;
Select an option;;no;yes;no;;Select an option;;Selecione uma opção;
Select communication round;;no;yes;no;;Select communication round;;Selecionar ronda de comunicação;
Select data model;;no;yes;no;;Select data model;;Selecionar modelo de dados;
Select entity;;no;yes;no;;Select entity;;Selecionar entidade;
Select filters;;no;yes;no;;Select filters;;Selecionar filtros;
Select goal;;no;yes;no;;Select goal;;Selecionar objetivo;
Select owners;;no;yes;no;;Select owners;;Selecionar proprietários;
Select population;;no;yes;no;;Select population;;Selecionar população;
Select the compensation element;;no;yes;no;;Select the compensation element;;Selecione o elemento de compensação;
Select type;;no;yes;no;;Select type;;Selecionar tipo;
Selected;;no;yes;no;;Selected;;Selecionado;
Selected column;;no;yes;no;;Selected column;;Coluna selecionada;
Selected fields;;no;yes;no;;Selected fields;;Campos selecionados;
Selected items;;no;yes;no;;Selected items;;Itens selecionados;
Selected population;;no;yes;no;;Selected population;;População selecionada;
Self;;no;yes;no;;Self;;Auto;
Self-assessment;;no;yes;no;;Self-assessment;;Autoavaliação;
Self-review;;no;yes;no;;Self-review;;Autoavaliação;
Send;;no;yes;no;;Send;;Enviar;
Send feedback;;no;yes;no;;Send feedback;;Enviar feedback;
Send to Documents;;no;yes;no;;Send to Documents;;Enviar para Documentos;
Sender;;no;yes;no;;Sender;;Remetente;
Sensitive Content;;no;yes;no;;Sensitive Content;;Conteúdo sensível;
Sent;;no;yes;no;;Sent;;Enviado;
Sent behaviors;;no;yes;no;;Sent behaviors;;Comportamentos enviados;
Sent feedback;;no;yes;no;;Sent feedback;;Enviou feedback;
Sent to;;no;yes;no;;Sent to;;Enviado para;
Separator;;no;yes;no;;Separator;;Separador;
Session timeout;;no;yes;no;;Session timeout;;Tempo limite da sessão;
Settings;;no;yes;no;;Settings;;Configurações;
Setup;;no;yes;no;;Setup;;Configuração;
Share;;no;yes;no;;Share;;Partilhar;
Share feedback;;no;yes;no;;Share feedback;;Partilhar feedback;
Share this feedback;;no;yes;no;;Share this feedback;;Partilhe este feedback;
Share with;;no;yes;no;;Share with;;Partilhar com;
Share your insights;;no;yes;no;;Share your insights;;Partilhe as suas perceções;
Share your thoughts;;no;yes;no;;Share your thoughts;;Partilhe as suas ideias;
Shared;;no;yes;no;;Shared;;Partilhado;
Shared feedback;;no;yes;no;;Shared feedback;;Feedback partilhado;
Shared goals;;no;yes;no;;Shared goals;;Objetivos partilhados;
Shared with;;no;yes;no;;Shared with;;Partilhado com;
Shared with me;;no;yes;no;;Shared with me;;Partilhado comigo;
Sharing;;no;yes;no;;Sharing;;Partilhar;
Short;;no;yes;no;;Short;;Curto;
Show;;no;yes;no;;Show;;Mostrar;
Show all;;no;yes;no;;Show all;;Mostrar tudo;
Since request;;no;yes;no;;Since request;;Desde o pedido;
Situation;;no;yes;no;;Situation;;Situação;
Situations;;no;yes;no;;Situations;;Situações;
Skill & Competency Groups;;no;yes;no;;Skill & Competency Groups;;Grupos de competências e habilidades;
Skill & competency groups;;no;yes;no;;Skill & competency groups;;Grupos de habilidades e competências;
Skills;;no;yes;no;;Skills;;Competências;
Skills & competency groups;;no;yes;no;;Skills & competency groups;;Grupos de competências e habilidades;
Snapshot;;no;yes;no;;Snapshot;;Instantâneo;
Snapshot Manager;;no;yes;no;;Snapshot Manager;;Gestor de Instantâneos;
Snapshot details;;no;yes;no;;Snapshot details;;Detalhes do snapshot;
Snapshots;;no;yes;no;;Snapshots;;Instantâneos;
Source;;no;yes;no;;Source;;Origem;
Stage;;no;yes;no;;Stage;;Etapa;
Standard;;no;yes;no;;Standard;;Padrão;
Start;;no;yes;no;;Start;;Iniciar;
Start date;;no;yes;no;;Start date;;Data de início;
Start date in company;;no;yes;no;;Start date in company;;Data de início na empresa;
Start time;;no;yes;no;;Start time;;Hora de início;
State;;no;yes;no;;State;;Estado;
Statement generation;;no;yes;no;;Statement generation;;Geração de declarações;
Statements;;no;yes;no;;Statements;;Declarações;
Status;;no;yes;no;;Status;;Estado;
Status by org. level;;no;yes;no;;Status by org. level;;Estado por nível org.;
Step curve;;no;yes;no;;Step curve;;Curva de passo;
Step end date;;no;yes;no;;Step end date;;Data de fim do passo;
Stock;;no;yes;no;;Stock;;Ação;
Street address;;no;yes;no;;Street address;;Endereço postal;
Subgroups;;no;yes;no;;Subgroups;;Subgrupos;
Subject;;no;yes;no;;Subject;;Assunto;
Submit;;no;yes;no;;Submit;;Enviar;
