term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;th-TH;th-TH_description
Failed;;no;yes;no;;Failed;;ล้มเหลว;
Favorite;;no;yes;no;;Favorite;;รายการโปรด;
Favorite feedback;;no;yes;no;;Favorite feedback;;ข้อเสนอแนะที่ชื่นชอบ;
Feature;;no;yes;no;;Feature;;คุณสมบัติ;
Feature Enablement;;no;yes;no;;Feature Enablement;;การเปิดใช้งานคุณสมบัติ;
Feature enablement;;no;yes;no;;Feature enablement;;การเปิดใช้งานฟีเจอร์;
Features;;no;yes;no;;Features;;คุณสมบัติ;
Feedback;;no;yes;no;;Feedback;;ฟีดแบค;
Feedback Ratings;;no;yes;no;;Feedback Ratings;;การให้คะแนนคำติชม;
Feedback from;;no;yes;no;;Feedback from;;ฟีดแบคจาก;
Feedback insights;;no;yes;no;;Feedback insights;;ข้อมูลเชิงลึกจากฟีดแบค;
Feedback note;;no;yes;no;;Feedback note;;หมายเหตุฟีดแบค;
Feedback notes;;no;yes;no;;Feedback notes;;บันทึกข้อเสนอแนะ;
Feedback rating;;no;yes;no;;Feedback rating;;คะแนนข้อเสนอแนะ;
Feedback received;;no;yes;no;;Feedback received;;ฟีดแบคที่ได้รับ;
Feedback request;;no;yes;no;;Feedback request;;คำขอฟีดแบค;
Feedback requested;;no;yes;no;;Feedback requested;;ฟีดแบคที่ขอ;
Feedback requests;;no;yes;no;;Feedback requests;;คำขอข้อเสนอแนะ;
Feedback sent;;no;yes;no;;Feedback sent;;ส่งฟีดแบคแล้ว;
Feedback sent to;;no;yes;no;;Feedback sent to;;ส่งฟีดแบคไปที่;
Field;;no;yes;no;;Field;;ฟิลด์;
Field name;;no;yes;no;;Field name;;ชื่อฟิลด์;
Fields;;no;yes;no;;Fields;;ฟิลด์;
Fields used;;no;yes;no;;Fields used;;ฟิลด์ที่ใช้;
File name;;no;yes;no;;File name;;ชื่อไฟล์;
File upload;;no;yes;no;;File upload;;อัปโหลดไฟล์;
Fill in the necessary details;;no;yes;no;;Fill in the necessary details;;กรอกข้อมูลที่จำเป็น;
Filter;;no;yes;no;;Filter;;ตัวกรอง;
Filters;;no;yes;no;;Filters;;ตัวกรอง;
Final;;no;yes;no;;Final;;สิ้นสุด;
Final Validation;;no;yes;no;;Final Validation;;การตรวจสอบความถูกต้องขั้นสุดท้าย;
Final validation;;no;yes;no;;Final validation;;การตรวจสอบความถูกต้องขั้นสุดท้าย;
Fixed;;no;yes;no;;Fixed;;คงที่;
For managers;;no;yes;no;;For managers;;สำหรับหัวหน้างาน;
For workers;;no;yes;no;;For workers;;สำหรับพนักงาน;
Formula;;no;yes;no;;Formula;;สูตร;
From;;no;yes;no;;From;;จาก;
Full name;;no;yes;no;;Full name;;ชื่อสกุล;
Functions;;no;yes;no;;Functions;;ฟังก์ชัน;
General;;no;yes;no;;General;;ทั่วไป;
General information;;no;yes;no;;General information;;ข้อมูลทั่วไป;
Generate;;no;yes;no;;Generate;;สร้าง;
Generate PDF;;no;yes;no;;Generate PDF;;สร้าง PDF;
Generated;;no;yes;no;;Generated;;สร้างขึ้น;
Generation date;;no;yes;no;;Generation date;;วันที่ผลิต;
Get started by creating one;;no;yes;no;;Get started by creating one;;เริ่มต้นด้วยการสร้างหนึ่งรายการ;
Give;;no;yes;no;;Give;;ให้;
Give feedback;;no;yes;no;;Give feedback;;ให้ฟีดแบค;
Global currency;;no;yes;no;;Global currency;;สกุลเงินสากล;
Global worker category;;no;yes;no;;Global worker category;;หมวดหมู่พนักงานระดับโลก;
Go to feedback;;no;yes;no;;Go to feedback;;ไปที่ฟีดแบค;
Goal;;no;yes;no;;Goal;;เป้าหมาย;
Goal Achievement;;no;yes;no;;Goal Achievement;;การบรรลุเป้าหมาย;
Goal Alignment;;no;yes;no;;Goal Alignment;;การปรับเป้าหมายให้สอดคล้องกัน;
Goal Details;;no;yes;no;;Goal Details;;รายละเอียดเป้าหมาย;
Goal ID;;no;yes;no;;Goal ID;;รหัสเป้าหมาย;
Goal Overview;;no;yes;no;;Goal Overview;;ภาพรวมเป้าหมาย;
Goal Plan;;no;yes;no;;Goal Plan;;แผนเป้าหมาย;
Goal Plans;;no;yes;no;;Goal Plans;;แผนเป้าหมาย;
Goal Status;;no;yes;no;;Goal Status;;สถานะเป้าหมาย;
Goal Tag Libraries;;no;yes;no;;Goal Tag Libraries;;ไลบรารีแท็กเป้าหมาย;
Goal Types;;no;yes;no;;Goal Types;;ประเภทเป้าหมาย;
Goal achievement;;no;yes;no;;Goal achievement;;การบรรลุเป้าหมาย;
Goal alignment;;no;yes;no;;Goal alignment;;การจัดตำแหน่งเป้าหมาย;
Goal creator;;no;yes;no;;Goal creator;;ผู้สร้างเป้าหมาย;
Goal details;;no;yes;no;;Goal details;;รายละเอียดเป้าหมาย;
Goal name;;no;yes;no;;Goal name;;ชื่อเป้าหมาย;
Goal overview;;no;yes;no;;Goal overview;;ภาพรวมเป้าหมาย;
Goal owner;;no;yes;no;;Goal owner;;เจ้าของเป้าหมาย;
Goal owner worker ID;;no;yes;no;;Goal owner worker ID;;รหัสพนักงานเจ้าของเป้าหมาย;
Goal period;;no;yes;no;;Goal period;;ช่วงเวลาเป้าหมาย;
Goal plan;;no;yes;no;;Goal plan;;แผนเป้าหมาย;
Goal plans;;no;yes;no;;Goal plans;;แผนเป้าหมาย;
Goal priority;;no;yes;no;;Goal priority;;ลำดับความสำคัญของเป้าหมาย;
Goal progress;;no;yes;no;;Goal progress;;ความคืบหน้าเป้าหมาย;
Goal status;;no;yes;no;;Goal status;;สถานะเป้าหมาย;
Goal tags;;no;yes;no;;Goal tags;;แท็กเป้าหมาย;
Goal title;;no;yes;no;;Goal title;;ชื่อเป้าหมาย;
Goal tracking status;;no;yes;no;;Goal tracking status;;สถานะการติดตามเป้าหมาย;
Goal type;;no;yes;no;;Goal type;;ประเภทเป้าหมาย;
Goal type weight;;no;yes;no;;Goal type weight;;ประเภทน้ำหนักของเป้าหมาย;
Goal types;;no;yes;no;;Goal types;;ประเภทเป้าหมาย;
Goal weight;;no;yes;no;;Goal weight;;น้ำหนักเป้าหมาย;
Goal workflow;;no;yes;no;;Goal workflow;;เวิร์กโฟลว์เป้าหมาย;
Goals;;no;yes;no;;Goals;;เป้าหมาย;
Goals aligned with this goal;;no;yes;no;;Goals aligned with this goal;;เป้าหมายที่สอดคล้องกับเป้าหมายนี้;
Grade;;no;yes;no;;Grade;;เกรด;
Grant date;;no;yes;no;;Grant date;;วันที่ได้รับสิทธิ์;
Grant proxy access;;no;yes;no;;Grant proxy access;;มอบสิทธิ์การเข้าถึงพร็อกซี;
Grants;;no;yes;no;;Grants;;การให้สิทธิ์;
Greater than;;no;yes;no;;Greater than;;มากกว่า;
Greater than or equal to;;no;yes;no;;Greater than or equal to;;มากกว่าหรือเท่ากับ;
Group name;;no;yes;no;;Group name;;ชื่อกลุ่ม;
Groups;;no;yes;no;;Groups;;กลุ่ม;
Guaranteed amount;;no;yes;no;;Guaranteed amount;;จำนวนที่รับประกัน;
Guaranteed amount rule;;no;yes;no;;Guaranteed amount rule;;กฎจำนวนเงินรับประกัน;
Guaranteed amounts;;no;yes;no;;Guaranteed amounts;;จำนวนที่รับประกัน;
Guideline;;no;yes;no;;Guideline;;แนวทางปฏิบัติ;
Guidelines;;no;yes;no;;Guidelines;;แนวทางปฏิบัติ;
HRBP approval;;no;yes;no;;HRBP approval;;การอนุมัติ HRBP;
HRBP review;;no;yes;no;;HRBP review;;การประเมินผลงาน HRBP;
Help;;no;yes;no;;Help;;ช่วยเหลือ;
Help tip;;no;yes;no;;Help tip;;เคล็ดลับวิธีใช้;
Helpful;;no;yes;no;;Helpful;;มีประโยชน์;
Hide;;no;yes;no;;Hide;;ซ่อน;
Hierarchy;;no;yes;no;;Hierarchy;;ลำดับชั้น;
High;;no;yes;no;;High;;สูง;
Historical Reviews;;no;yes;no;;Historical Reviews;;การประเมินผลงานในอดีต;
Historical compensation;;no;yes;no;;Historical compensation;;ค่าชดเชยย้อนหลัง;
Home;;no;yes;no;;Home;;หน้าหลัก;
Identifier;;no;yes;no;;Identifier;;ตัวระบุ;
Image;;no;yes;no;;Image;;ภาพ;
Import;;no;yes;no;;Import;;นำเข้า;
In progress;;no;yes;no;;In progress;;อยู่ระหว่างดำเนินการ;
In use;;no;yes;no;;In use;;กำลังใช้งาน;
Inactive;;no;yes;no;;Inactive;;ไม่ได้ใช้งาน;
Include;;no;yes;no;;Include;;รวม;
Included;;no;yes;no;;Included;;รวม;
Individual;;no;yes;no;;Individual;;รายบุคคล;
Individual goal;;no;yes;no;;Individual goal;;เป้าหมายรายบุคคล;
Individual goals;;no;yes;no;;Individual goals;;เป้าหมายรายบุคคล;
Individual view;;no;yes;no;;Individual view;;มุมมองรายบุคคล;
Individual workers;;no;yes;no;;Individual workers;;พนักงานรายบุคคล;
Individuals;;no;yes;no;;Individuals;;บุคคล;
Ingestion;;no;yes;no;;Ingestion;;การดึงข้อมูลเข้า;
Input;;no;yes;no;;Input;;อินพุต;
Insightful;;no;yes;no;;Insightful;;ข้อมูลเชิงลึก;
Insights;;no;yes;no;;Insights;;ข้อมูลเชิงลึก;
Inspiring;;no;yes;no;;Inspiring;;สร้างแรงบันดาลใจ;
Instant messaging address;;no;yes;no;;Instant messaging address;;ที่อยู่การส่งข้อความโต้ตอบแบบทันที;
Integer;;no;yes;no;;Integer;;จำนวนเต็ม;
Interface;;no;yes;no;;Interface;;อินเทอร์เฟซ;
Is PII;;no;yes;no;;Is PII;;คือ PII;
Is completed;;no;yes;no;;Is completed;;เสร็จสมบูรณ์แล้ว;
Is enabled;;no;yes;no;;Is enabled;;เปิดใช้งานแล้ว;
Is read;;no;yes;no;;Is read;;ถูกอ่านแล้ว;
Is required;;no;yes;no;;Is required;;จำเป็นต้องระบุ;
Job code;;no;yes;no;;Job code;;รหัสงาน;
Job level;;no;yes;no;;Job level;;ระดับงาน;
Job title;;no;yes;no;;Job title;;ชื่อตำแหน่งงาน;
Key dates;;no;yes;no;;Key dates;;วันที่สำคัญ;
Key deliverables;;no;yes;no;;Key deliverables;;สิ่งส่งมอบที่สำคัญ;
Label;;no;yes;no;;Label;;ป้ายกำกับ;
Language;;no;yes;no;;Language;;ภาษา;
Language code;;no;yes;no;;Language code;;รหัสภาษา;
Languages;;no;yes;no;;Languages;;ภาษา;
Last edited;;no;yes;no;;Last edited;;แก้ไขล่าสุด;
Last update;;no;yes;no;;Last update;;อัปเดตล่าสุด;
Last updated;;no;yes;no;;Last updated;;อัปเดตล่าสุด;
Learning;;no;yes;no;;Learning;;การเรียนรู้;
Leave of absence;;no;yes;no;;Leave of absence;;การลางาน;
Legal Entity;;no;yes;no;;Legal Entity;;นิติบุคคล;
Legal entity;;no;yes;no;;Legal entity;;นิติบุคคล;
Less than;;no;yes;no;;Less than;;น้อยกว่า;
Less than or equal to;;no;yes;no;;Less than or equal to;;น้อยกว่าหรือเท่ากับ;
Let's meet;;no;yes;no;;Let's meet;;มาพบปะกัน;
Library details;;no;yes;no;;Library details;;รายละเอียดไลบรารี;
Library name;;no;yes;no;;Library name;;ชื่อไลบรารี;
Limit;;no;yes;no;;Limit;;จำกัด;
Line manager;;no;yes;no;;Line manager;;หัวหน้างาน;
Linear curve;;no;yes;no;;Linear curve;;เส้นโค้งเชิงเส้น;
Link;;no;yes;no;;Link;;ลิงก์;
Local time;;no;yes;no;;Local time;;เวลาท้องถิ่น;
Local worker category;;no;yes;no;;Local worker category;;ประเภทพนักงานภายในประเทศ;
Localization;;no;yes;no;;Localization;;การแปลภาษา;
Location;;no;yes;no;;Location;;ที่ตั้ง;
Locations;;no;yes;no;;Locations;;สถานที่ตั้ง;
Logins;;no;yes;no;;Logins;;การเข้าสู่ระบบ;
Logins over time;;no;yes;no;;Logins over time;;การเข้าสู่ระบบตามช่วงเวลา;
Logout;;no;yes;no;;Logout;;ออกจากระบบ;
Low;;no;yes;no;;Low;;ต่ำ;
Main;;no;yes;no;;Main;;หลัก;
Main currency;;no;yes;no;;Main currency;;สกุลเงินหลัก;
Main group;;no;yes;no;;Main group;;กลุ่มหลัก;
Manage;;no;yes;no;;Manage;;จัดการ;
Manage users;;no;yes;no;;Manage users;;จัดการผู้ใช้;
Manager;;no;yes;no;;Manager;;หัวหน้างาน;
Manager + 1;;no;yes;no;;Manager + 1;;ผู้จัดการ + 1;
Manager ID;;no;yes;no;;Manager ID;;รหัสประจำตัวหัวหน้างาน;
Manager feedback;;no;yes;no;;Manager feedback;;ข้อเสนอแนะจากผู้จัดการ;
Manager name;;no;yes;no;;Manager name;;ชื่อผู้จัดการ;
Manager proposal;;no;yes;no;;Manager proposal;;ข้อเสนอของผู้จัดการ;
Manager review;;no;yes;no;;Manager review;;การประเมินโดยหัวหน้างาน;
Manager+1;;no;yes;no;;Manager+1;;ผู้จัดการ+1;
Managers;;no;yes;no;;Managers;;ผู้จัดการ;
Mandatory;;no;yes;no;;Mandatory;;บังคับ;
Manually;;no;yes;no;;Manually;;ด้วยตนเอง;
Mapping configuration;;no;yes;no;;Mapping configuration;;การกำหนดค่าการแมป;
Max target;;no;yes;no;;Max target;;เป้าหมายสูงสุด;
Max. score;;no;yes;no;;Max. score;;คะแนนสูงสุด;
Maximum;;no;yes;no;;Maximum;;สูงสุด;
Maximum outcome;;no;yes;no;;Maximum outcome;;ผลลัพธ์สูงสุด;
Maximum payout;;no;yes;no;;Maximum payout;;การจ่ายเงินสูงสุด;
Measurement;;no;yes;no;;Measurement;;การวัด;
Measurement criteria;;no;yes;no;;Measurement criteria;;เกณฑ์การวัดผล;
Medium;;no;yes;no;;Medium;;ปานกลาง;
Message;;no;yes;no;;Message;;ข้อความ;
Min target;;no;yes;no;;Min target;;เป้าหมายขั้นต่ำ;
Minimum;;no;yes;no;;Minimum;;ขั้นต่ำ;
Minimum outcome;;no;yes;no;;Minimum outcome;;ผลลัพธ์ขั้นต่ำ;
Model;;no;yes;no;;Model;;โมเดล;
Model description;;no;yes;no;;Model description;;คำอธิบายโมเดล;
Model details;;no;yes;no;;Model details;;รายละเอียดโมเดล;
Model features;;no;yes;no;;Model features;;คุณสมบัติของโมเดล;
Model name;;no;yes;no;;Model name;;ชื่อโมเดล;
Model type;;no;yes;no;;Model type;;ประเภทโมเดล;
Models;;no;yes;no;;Models;;โมเดล;
Moderation;;no;yes;no;;Moderation;;การกลั่นกรอง;
Moderation stage;;no;yes;no;;Moderation stage;;ขั้นตอนการกลั่นกรอง;
Month;;no;yes;no;;Month;;เดือน;
Months;;no;yes;no;;Months;;เดือน;
More;;no;yes;no;;More;;มากกว่า;
More details;;no;yes;no;;More details;;รายละเอียดเพิ่มเติม;
Move reviews;;no;yes;no;;Move reviews;;ย้ายการประเมินผลงาน;
Multiple;;no;yes;no;;Multiple;;หลายรายการ;
My behavior profile;;no;yes;no;;My behavior profile;;โปรไฟล์พฤติกรรมของฉัน;
My feedback;;no;yes;no;;My feedback;;ฟีดแบคของฉัน;
My goal;;no;yes;no;;My goal;;เป้าหมายของฉัน;
My goals;;no;yes;no;;My goals;;เป้าหมายของฉัน;
My note;;no;yes;no;;My note;;หมายเหตุของฉัน;
My review;;no;yes;no;;My review;;การประเมินผลงานของฉัน;
My reviews;;no;yes;no;;My reviews;;การตรวจสอบของฉัน;
Name;;no;yes;no;;Name;;ชื่อ;
New manager;;no;yes;no;;New manager;;ผู้จัดการคนใหม่;
New password;;no;yes;no;;New password;;รหัสผ่านใหม่;
Next;;no;yes;no;;Next;;ต่อไป;
Next step;;no;yes;no;;Next step;;ขั้นตอนต่อไป;
Nickname;;no;yes;no;;Nickname;;ชื่อเล่น;
No career development plans;;no;yes;no;;No career development plans;;ไม่มีแผนพัฒนาสายอาชีพ;
No check-ins;;no;yes;no;;No check-ins;;ไม่มีการเช็คอิน;
No comments yet;;no;yes;no;;No comments yet;;ยังไม่มีความคิดเห็น;
No compensation rounds;;no;yes;no;;No compensation rounds;;ไม่มีรอบการชดเชย;
No data;;no;yes;no;;No data;;ไม่มีข้อมูล;
No description;;no;yes;no;;No description;;ไม่มีคำอธิบาย;
No documents;;no;yes;no;;No documents;;ไม่มีเอกสาร;
No feedback;;no;yes;no;;No feedback;;ไม่มีฟีดแบค;
No goals;;no;yes;no;;No goals;;ไม่มีเป้าหมาย;
No goals yet;;no;yes;no;;No goals yet;;ยังไม่มีเป้าหมาย;
No messages yet;;no;yes;no;;No messages yet;;ยังไม่มีข้อความ;
No notes;;no;yes;no;;No notes;;ไม่มีหมายเหตุ;
No populations;;no;yes;no;;No populations;;ไม่มีประชากร;
No populations yet;;no;yes;no;;No populations yet;;ยังไม่มีประชากร;
No priority;;no;yes;no;;No priority;;ไม่มีลำดับความสำคัญ;
No questions;;no;yes;no;;No questions;;ไม่มีคำถาม;
No results;;no;yes;no;;No results;;ไม่มีผลลัพธ์;
No results found;;no;yes;no;;No results found;;ไม่พบผลลัพธ์;
No value;;no;yes;no;;No value;;ไม่มีค่า;
Non-conditional;;no;yes;no;;Non-conditional;;ไม่เป็นเงื่อนไข;
None;;no;yes;no;;None;;ไม่มี;
Not completed;;no;yes;no;;Not completed;;ยังไม่เสร็จสมบูรณ์;
Not empty;;no;yes;no;;Not empty;;ไม่ว่างเปล่า;
Not released;;no;yes;no;;Not released;;ยังไม่ได้เผยแพร่;
Not selected;;no;yes;no;;Not selected;;ไม่ได้เลือก;
Not started;;no;yes;no;;Not started;;ยังไม่ได้เริ่มต้น;
Not submitted;;no;yes;no;;Not submitted;;ยังไม่ได้ส่ง;
Note;;no;yes;no;;Note;;หมายเหตุ;
Notes;;no;yes;no;;Notes;;หมายเหตุ;
Notification bell;;no;yes;no;;Notification bell;;กระดิ่งการแจ้งเตือน;
Notifications;;no;yes;no;;Notifications;;การแจ้งเตือน;
Nudge;;no;yes;no;;Nudge;;แจ้งเตือน;
Number;;no;yes;no;;Number;;หมายเลข;
Number of days;;no;yes;no;;Number of days;;จำนวนวัน;
Number of years;;no;yes;no;;Number of years;;จำนวนปี;
Numeric;;no;yes;no;;Numeric;;ตัวเลข;
Observations;;no;yes;no;;Observations;;การสังเกต;
On track;;no;yes;no;;On track;;อยู่บนเส้นทาง;
Open;;no;yes;no;;Open;;เปิด;
Operator;;no;yes;no;;Operator;;ผู้ดำเนินการ;
Optional;;no;yes;no;;Optional;;ไม่บังคับ;
Organization;;no;yes;no;;Organization;;องค์กร;
Organization external ID;;no;yes;no;;Organization external ID;;รหัสภายนอกองค์กร;
Organizational;;no;yes;no;;Organizational;;องค์กร;
Organizational Units;;no;yes;no;;Organizational Units;;หน่วยงาน;
Organizational goal;;no;yes;no;;Organizational goal;;เป้าหมายขององค์กร;
Organizational unit;;no;yes;no;;Organizational unit;;หน่วยงาน;
Other;;no;yes;no;;Other;;อื่นๆ;
Outcome;;no;yes;no;;Outcome;;ผลลัพธ์;
Outlook;;no;yes;no;;Outlook;;ภาพรวมแนวโน้ม;
Overall behavior rating;;no;yes;no;;Overall behavior rating;;คะแนนพฤติกรรมโดยรวม;
Overall performance;;no;yes;no;;Overall performance;;ผลการปฏิบัติงานโดยรวม;
Overall performance rating;;no;yes;no;;Overall performance rating;;คะแนนการประเมินผลงานโดยรวม;
Overall progress;;no;yes;no;;Overall progress;;ความคืบหน้าโดยรวม;
Overdue;;no;yes;no;;Overdue;;เกินกำหนด;
Overview;;no;yes;no;;Overview;;ภาพรวม;
Owner;;no;yes;no;;Owner;;เจ้าของ;
Owners;;no;yes;no;;Owners;;เจ้าของ;
Participant;;no;yes;no;;Participant;;ผู้เข้าร่วม;
Participants;;no;yes;no;;Participants;;ผู้เข้าร่วม;
Passport;;no;yes;no;;Passport;;หนังสือเดินทาง;
Password;;no;yes;no;;Password;;รหัสผ่าน;
Past;;no;yes;no;;Past;;อดีต;
Pay Analysis;;no;yes;no;;Pay Analysis;;การวิเคราะห์ค่าตอบแทน;
Pay Information;;no;yes;no;;Pay Information;;ข้อมูลเงินเดือน;
Pay Intelligence;;no;yes;no;;Pay Intelligence;;การจ่ายเงินอัจฉริยะ;
Pay Transparency;;no;yes;no;;Pay Transparency;;ความโปร่งใสในการชำระเงิน;
Pay analysis;;no;yes;no;;Pay analysis;;การวิเคราะห์ค่าตอบแทน;
Pay information;;no;yes;no;;Pay information;;ข้อมูลการจ่ายเงิน;
Pay information requests;;no;yes;no;;Pay information requests;;คำขอข้อมูลค่าตอบแทน;
Pay range;;no;yes;no;;Pay range;;ช่วงการจ่ายเงิน;
Payout;;no;yes;no;;Payout;;การจ่ายเงิน;
Payout Curves;;no;yes;no;;Payout Curves;;เส้นโค้งการจ่ายเงิน;
Payout curve;;no;yes;no;;Payout curve;;เส้นโค้งการจ่ายเงิน;
Payout curves;;no;yes;no;;Payout curves;;เส้นโค้งการจ่ายเงิน;
Payroll;;no;yes;no;;Payroll;;เงินเดือน;
Payroll data drop;;no;yes;no;;Payroll data drop;;การนำเข้าข้อมูลเงินเดือน;
Peers;;no;yes;no;;Peers;;เพื่อนร่วมงาน;
Pending;;no;yes;no;;Pending;;รอดำเนินการ;
Pending approval;;no;yes;no;;Pending approval;;รอการอนุมัติ;
Pending confirmation;;no;yes;no;;Pending confirmation;;รอการยืนยัน;
Pending draft;;no;yes;no;;Pending draft;;แบบร่างที่รอดำเนินการ;
Pending publishing;;no;yes;no;;Pending publishing;;รอการเผยแพร่;
Pending sign-off;;no;yes;no;;Pending sign-off;;รอการอนุมัติสิ้นสุด;
People;;no;yes;no;;People;;บุคลากร;
People day;;no;yes;no;;People day;;วันทรัพยากรบุคคล;
Percentage;;no;yes;no;;Percentage;;เปอร์เซ็นต์;
Performance;;no;yes;no;;Performance;;ผลการปฏิบัติงาน;
Performance Management;;no;yes;no;;Performance Management;;การจัดการประสิทธิภาพการทำงาน;
Performance Reviews;;no;yes;no;;Performance Reviews;;การประเมินผลการปฏิบัติงาน;
Performance check-ins;;no;yes;no;;Performance check-ins;;การเช็คอินการปฏิบัติงาน;
Performance rating;;no;yes;no;;Performance rating;;คะแนนประสิทธิภาพการทำงาน;
Performance review;;no;yes;no;;Performance review;;การประเมินผลการปฏิบัติงาน;
Performance review details;;no;yes;no;;Performance review details;;รายละเอียดการประเมินผลการปฏิบัติงาน;
Performance review templates;;no;yes;no;;Performance review templates;;แม่แบบการประเมินผลงาน;
Period start date;;no;yes;no;;Period start date;;วันที่เริ่มต้นของรอบระยะเวลา;
Personal;;no;yes;no;;Personal;;ส่วนตัว;
Personally identifiable information;;no;yes;no;;Personally identifiable information;;ข้อมูลระบุตัวตนส่วนบุคคล;
Phone number;;no;yes;no;;Phone number;;หมายเลขโทรศัพท์;
Plan;;no;yes;no;;Plan;;แผน;
Plan details;;no;yes;no;;Plan details;;รายละเอียดแผน;
Plan name;;no;yes;no;;Plan name;;ชื่อแผน;
Plan stage;;no;yes;no;;Plan stage;;ขั้นตอนการวางแผน;
Plan transmission;;no;yes;no;;Plan transmission;;การส่งแผน;
Planner;;no;yes;no;;Planner;;แพลนเนอร์;
Plans;;no;yes;no;;Plans;;แผน;
Population;;no;yes;no;;Population;;ประชากร;
Population criteria;;no;yes;no;;Population criteria;;เกณฑ์ประชากร;
Populations;;no;yes;no;;Populations;;ประชากร;
Position in pay range;;no;yes;no;;Position in pay range;;ตำแหน่งในช่วงเงินเดือน;
Preview;;no;yes;no;;Preview;;ดูตัวอย่าง;
Preview document;;no;yes;no;;Preview document;;ดูตัวอย่างเอกสาร;
Previous;;no;yes;no;;Previous;;ก่อนหน้า;
Priority;;no;yes;no;;Priority;;ลำดับความสำคัญ;
Privacy;;no;yes;no;;Privacy;;ความเป็นส่วนตัว;
Privacy settings;;no;yes;no;;Privacy settings;;การตั้งค่าความเป็นส่วนตัว;
Privacy statement text;;no;yes;no;;Privacy statement text;;ข้อความแถลงการณ์ความเป็นส่วนตัว;
Private;;no;yes;no;;Private;;ส่วนตัว;
Proceed;;no;yes;no;;Proceed;;ดำเนินการ;
Processing;;no;yes;no;;Processing;;กำลังประมวลผล;
Professional;;no;yes;no;;Professional;;มืออาชีพ;
Progress;;no;yes;no;;Progress;;ความคืบหน้า;
Progress tracking;;no;yes;no;;Progress tracking;;การติดตามความคืบหน้า;
Properties;;no;yes;no;;Properties;;คุณสมบัติ;
Proposal management;;no;yes;no;;Proposal management;;การจัดการข้อเสนอ;
Prorated target bonus;;no;yes;no;;Prorated target bonus;;เป้าหมายโบนัสแบบคำนวณตามสัดส่วน;
Proxy;;no;yes;no;;Proxy;;พร็อกซี;
Proxy access list;;no;yes;no;;Proxy access list;;รายการการเข้าถึงพร็อกซี;
Proxy permission;;no;yes;no;;Proxy permission;;สิทธิ์การอนุญาตใช้พร็อกซี;
Public;;no;yes;no;;Public;;สาธารณะ;
Public feedback;;no;yes;no;;Public feedback;;ข้อเสนอแนะสาธารณะ;
Publish;;no;yes;no;;Publish;;เผยแพร่;
Published;;no;yes;no;;Published;;เผยแพร่แล้ว;
Published date;;no;yes;no;;Published date;;วันที่เผยแพร่;
Publishing;;no;yes;no;;Publishing;;การเผยแพร่;
Purpose;;no;yes;no;;Purpose;;วัตถุประสงค์;
Question;;no;yes;no;;Question;;คำถาม;
Questions;;no;yes;no;;Questions;;คำถาม;
RTI request status;;no;yes;no;;RTI request status;;สถานะคำขอ RTI;
Range;;no;yes;no;;Range;;ช่วง;
Rate this feedback;;no;yes;no;;Rate this feedback;;ให้คะแนนฟีดแบคนี้;
Rating;;no;yes;no;;Rating;;การจัดอันดับ;
Rating changed;;no;yes;no;;Rating changed;;มีการเปลี่ยนแปลงคะแนน;
Rating distribution;;no;yes;no;;Rating distribution;;การกระจายระดับคะแนน;
Rating scale;;no;yes;no;;Rating scale;;มาตราวัดการให้คะแนน;
Rating scales;;no;yes;no;;Rating scales;;มาตรการให้คะแนน;
Read;;no;yes;no;;Read;;อ่าน;
Read only;;no;yes;no;;Read only;;เฉพาะอ่านเท่านั้น;
Read status;;no;yes;no;;Read status;;สถานะการอ่าน;
Read-only;;no;yes;no;;Read-only;;อ่านอย่างเดียว;
Ready;;no;yes;no;;Ready;;พร้อม;
Reassign;;no;yes;no;;Reassign;;มอบหมายใหม่;
Reassign manager;;no;yes;no;;Reassign manager;;มอบหมายผู้จัดการใหม่;
Reassigned;;no;yes;no;;Reassigned;;ถูกมอบหมายใหม่;
Received;;no;yes;no;;Received;;ได้รับแล้ว;
Received behaviors;;no;yes;no;;Received behaviors;;พฤติกรรมที่ได้รับ;
Received feedback;;no;yes;no;;Received feedback;;ฟีดแบคที่ได้รับ;
Recipient;;no;yes;no;;Recipient;;ผู้รับ;
Recipients;;no;yes;no;;Recipients;;ผู้รับ;
Recognition;;no;yes;no;;Recognition;;การยอมรับ;
Recognized behaviors;;no;yes;no;;Recognized behaviors;;พฤติกรรมที่ได้รับการยอมรับ;
Recommended;;no;yes;no;;Recommended;;แนะนำ;
Recurrence;;no;yes;no;;Recurrence;;การเกิดซ้ำ;
Reference;;no;yes;no;;Reference;;การอ้างอิง;
Reference number;;no;yes;no;;Reference number;;หมายเลขอ้างอิง;
Refresh;;no;yes;no;;Refresh;;รีเฟรช;
Region;;no;yes;no;;Region;;ภูมิภาค;
Regular;;no;yes;no;;Regular;;ปกติ;
Regular check-ins;;no;yes;no;;Regular check-ins;;การเช็คอินเป็นประจำ;
Reject;;no;yes;no;;Reject;;ปฏิเสธ;
Rejected;;no;yes;no;;Rejected;;ปฏิเสธแล้ว;
Relation;;no;yes;no;;Relation;;ความสัมพันธ์;
Release;;no;yes;no;;Release;;เผยแพร่;
Release status;;no;yes;no;;Release status;;สถานะการเผยแพร่;
Released;;no;yes;no;;Released;;เผยแพร่แล้ว;
Remaining;;no;yes;no;;Remaining;;ที่เหลืออยู่;
