term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;tr-TR;tr-TR_description
Give feedback;;no;yes;no;;Give feedback;;Geri bildirimlerde bulunun;
Global;;no;yes;no;;Global;;Evrensel;
Global currency;;no;yes;no;;Global currency;;Küresel para birimi;
Global worker category;;no;yes;no;;Global worker category;;Global çalışan kategorisi;
Go to feedback;;no;yes;no;;Go to feedback;;Geri bildirimlere git;
Goal;;no;yes;no;;Goal;;Hedef;
Goal Achievement;;no;yes;no;;Goal Achievement;;Hedef Başarısı;
Goal Alignment;;no;yes;no;;Goal Alignment;;Hedef Hizalaması;
Goal Details;;no;yes;no;;Goal Details;;Hedef Ayrıntıları;
Goal ID;;no;yes;no;;Goal ID;;Hedef kimliği;
Goal Overview;;no;yes;no;;Goal Overview;;Hedef Genel Görünümü;
Goal Plan;;no;yes;no;;Goal Plan;;Hedef Planı;
Goal Plans;;no;yes;no;;Goal Plans;;Hedef Planları;
Goal Status;;no;yes;no;;Goal Status;;Hedef Durumu;
Goal Tag Libraries;;no;yes;no;;Goal Tag Libraries;;Hedef Etiket Kitaplıkları;
Goal Types;;no;yes;no;;Goal Types;;Hedef Türleri;
Goal achievement;;no;yes;no;;Goal achievement;;Hedef başarısı;
Goal alignment;;no;yes;no;;Goal alignment;;Hedef uyumu;
Goal creator;;no;yes;no;;Goal creator;;Hedef oluşturucu;
Goal details;;no;yes;no;;Goal details;;Hedef ayrıntıları;
Goal name;;no;yes;no;;Goal name;;Hedef adı;
Goal overview;;no;yes;no;;Goal overview;;Hedefe genel bakış;
Goal owner;;no;yes;no;;Goal owner;;Hedef sahibi;
Goal owner worker ID;;no;yes;no;;Goal owner worker ID;;Hedef sahibi Çalışan kimliği;
Goal period;;no;yes;no;;Goal period;;Hedef dönemi;
Goal plan;;no;yes;no;;Goal plan;;Hedef planı;
Goal plans;;no;yes;no;;Goal plans;;Hedef planları;
Goal priority;;no;yes;no;;Goal priority;;Hedef önceliği;
Goal progress;;no;yes;no;;Goal progress;;Hedef ilerlemesi;
Goal status;;no;yes;no;;Goal status;;Hedef durumu;
Goal tags;;no;yes;no;;Goal tags;;Hedef etiketleri;
Goal title;;no;yes;no;;Goal title;;Hedef başlığı;
Goal tracking status;;no;yes;no;;Goal tracking status;;Hedef takip durumu;
Goal type;;no;yes;no;;Goal type;;Hedef türü;
Goal type weight;;no;yes;no;;Goal type weight;;Hedef türü ağırlığı;
Goal types;;no;yes;no;;Goal types;;Hedef türleri;
Goal weight;;no;yes;no;;Goal weight;;Hedef kilo;
Goal workflow;;no;yes;no;;Goal workflow;;Hedef iş akışı;
Goals;;no;yes;no;;Goals;;Hedefler;
Goals aligned with this goal;;no;yes;no;;Goals aligned with this goal;;Bu hedefle uyumlu hedefler;
Grade;;no;yes;no;;Grade;;Not;
Grant date;;no;yes;no;;Grant date;;Veriliş tarihi;
Grant proxy access;;no;yes;no;;Grant proxy access;;Vekil erişimi verin;
Grants;;no;yes;no;;Grants;;Hibeler;
Greater than;;no;yes;no;;Greater than;;Büyüktür;
Greater than or equal to;;no;yes;no;;Greater than or equal to;;Büyüktür veya eşittir;
Group name;;no;yes;no;;Group name;;Grup adı;
Groups;;no;yes;no;;Groups;;Gruplar;
Guaranteed amount;;no;yes;no;;Guaranteed amount;;Garantili tutar;
Guaranteed amount rule;;no;yes;no;;Guaranteed amount rule;;Garantili tutar kuralı;
Guaranteed amounts;;no;yes;no;;Guaranteed amounts;;Garantili tutarlar;
Guideline;;no;yes;no;;Guideline;;Kılavuz;
Guidelines;;no;yes;no;;Guidelines;;Kılavuzlar;
HRBP approval;;no;yes;no;;HRBP approval;;İK iş ortağı onayı;
HRBP review;;no;yes;no;;HRBP review;;İK iş ortağı değerlendirmesi;
Help;;no;yes;no;;Help;;Yardım;
Help tip;;no;yes;no;;Help tip;;Yardım ipucu;
Helpful;;no;yes;no;;Helpful;;Yardımcı;
Hide;;no;yes;no;;Hide;;Gizle;
Hierarchy;;no;yes;no;;Hierarchy;;Hiyerarşi;
High;;no;yes;no;;High;;Yüksek;
Historical Reviews;;no;yes;no;;Historical Reviews;;Geçmiş Değerlendirmeler;
Historical compensation;;no;yes;no;;Historical compensation;;Tarihi tazminat;
Home;;no;yes;no;;Home;;Ana Sayfa;
Identifier;;no;yes;no;;Identifier;;Tanımlayıcı;
Image;;no;yes;no;;Image;;Resim;
Import;;no;yes;no;;Import;;İçe Aktar;
In progress;;no;yes;no;;In progress;;Devam ediyor;
In use;;no;yes;no;;In use;;Kullanımda;
Inactive;;no;yes;no;;Inactive;;Pasif;
Include;;no;yes;no;;Include;;Dahil Et;
Included;;no;yes;no;;Included;;Dahil;
Individual;;no;yes;no;;Individual;;Bireysel;
Individual goal;;no;yes;no;;Individual goal;;Bireysel hedef;
Individual goals;;no;yes;no;;Individual goals;;Bireysel hedefler;
Individual view;;no;yes;no;;Individual view;;Bireysel görünüm;
Individual workers;;no;yes;no;;Individual workers;;Bireysel çalışanlar;
Individuals;;no;yes;no;;Individuals;;Kişiler;
Ingestion;;no;yes;no;;Ingestion;;Alım;
Input;;no;yes;no;;Input;;Girdi;
Insightful;;no;yes;no;;Insightful;;İçgörüye dayalı;
Insights;;no;yes;no;;Insights;;İçgörüler;
Inspiring;;no;yes;no;;Inspiring;;İlham verici;
Instant messaging address;;no;yes;no;;Instant messaging address;;Anlık mesajlaşma adresi;
Integer;;no;yes;no;;Integer;;Tamsayı;
Interface;;no;yes;no;;Interface;;Arayüz;
Is PII;;no;yes;no;;Is PII;;Kişisel olarak tanımlanabilir bilgidir;
Is completed;;no;yes;no;;Is completed;;Tamamlandı;
Is enabled;;no;yes;no;;Is enabled;;Etkinleştirildi;
Is read;;no;yes;no;;Is read;;Okundu;
Is required;;no;yes;no;;Is required;;Gereklidir;
Job code;;no;yes;no;;Job code;;İş kodu;
Job level;;no;yes;no;;Job level;;İş seviyesi;
Job title;;no;yes;no;;Job title;;İş unvanı;
Key dates;;no;yes;no;;Key dates;;Önemli tarihler;
Key deliverables;;no;yes;no;;Key deliverables;;Önemli teslim edilecek öğeler;
Label;;no;yes;no;;Label;;Etiket;
Language;;no;yes;no;;Language;;Dil;
Language code;;no;yes;no;;Language code;;Dil kodu;
Languages;;no;yes;no;;Languages;;Diller;
Last edited;;no;yes;no;;Last edited;;Son düzenleme;
Last update;;no;yes;no;;Last update;;Son güncelleme;
Last updated;;no;yes;no;;Last updated;;Son güncelleme;
Learning;;no;yes;no;;Learning;;Öğrenme;
Leave of absence;;no;yes;no;;Leave of absence;;İzinli ayrılma;
Legal Entity;;no;yes;no;;Legal Entity;;Tüzel Kişilik;
Legal entity;;no;yes;no;;Legal entity;;Tüzel kişi;
Less than;;no;yes;no;;Less than;;Daha az;
Less than or equal to;;no;yes;no;;Less than or equal to;;Küçük veya eşit;
Let's meet;;no;yes;no;;Let's meet;;Haydi görüşelim;
Level;;no;yes;no;;Level;;Seviye;
Library details;;no;yes;no;;Library details;;Kitaplık ayrıntıları;
Library name;;no;yes;no;;Library name;;Kitaplık adı;
Limit;;no;yes;no;;Limit;;Sınır;
Line manager;;no;yes;no;;Line manager;;Birim yöneticisi;
Linear curve;;no;yes;no;;Linear curve;;Doğrusal eğri;
Link;;no;yes;no;;Link;;Bağlantı;
Local time;;no;yes;no;;Local time;;Yerel saat;
Local worker category;;no;yes;no;;Local worker category;;Yerel Çalışan kategorisi;
Localization;;no;yes;no;;Localization;;Yerelleştirme;
Location;;no;yes;no;;Location;;Konum;
Locations;;no;yes;no;;Locations;;Konumlar;
Logins;;no;yes;no;;Logins;;Girişler;
Logins over time;;no;yes;no;;Logins over time;;Zaman içindeki girişler;
Logout;;no;yes;no;;Logout;;Oturumu kapat;
Low;;no;yes;no;;Low;;Düşük;
Main;;no;yes;no;;Main;;Ana;
Main currency;;no;yes;no;;Main currency;;Ana para birimi;
Main group;;no;yes;no;;Main group;;Ana grup;
Male;;no;yes;no;;Male;;Erkek;
Manage;;no;yes;no;;Manage;;Yönet;
Manage users;;no;yes;no;;Manage users;;Kullanıcıları yönetin;
Manager;;no;yes;no;;Manager;;Yönetici;
Manager + 1;;no;yes;no;;Manager + 1;;Yönetici + 1;
Manager ID;;no;yes;no;;Manager ID;;Yönetici Kimliği;
Manager feedback;;no;yes;no;;Manager feedback;;Yönetici geri bildirimleri;
Manager name;;no;yes;no;;Manager name;;Yönetici adı;
Manager proposal;;no;yes;no;;Manager proposal;;Yönetici önerisi;
Manager review;;no;yes;no;;Manager review;;Yönetici değerlendirmesi;
Manager+1;;no;yes;no;;Manager+1;;Yönetici+1;
Managers;;no;yes;no;;Managers;;Yöneticiler;
Mandatory;;no;yes;no;;Mandatory;;Zorunlu;
Manually;;no;yes;no;;Manually;;Manuel olarak;
Mapping configuration;;no;yes;no;;Mapping configuration;;Eşleme yapılandırması;
Max target;;no;yes;no;;Max target;;Maksimum hedef;
Max. score;;no;yes;no;;Max. score;;Azami puan;
Maximum;;no;yes;no;;Maximum;;Maksimum;
Maximum outcome;;no;yes;no;;Maximum outcome;;Maksimum sonuç;
Maximum payout;;no;yes;no;;Maximum payout;;Maksimum ödeme;
Measurement;;no;yes;no;;Measurement;;Ölçüm;
Measurement criteria;;no;yes;no;;Measurement criteria;;Ölçüm kriterleri;
Medium;;no;yes;no;;Medium;;Orta;
Menu;;no;yes;no;;Menu;;Menü;
Message;;no;yes;no;;Message;;Mesaj;
Min target;;no;yes;no;;Min target;;Minimum hedef;
Minimum outcome;;no;yes;no;;Minimum outcome;;Minimum sonuç;
Model description;;no;yes;no;;Model description;;Model açıklaması;
Model details;;no;yes;no;;Model details;;Model ayrıntıları;
Model features;;no;yes;no;;Model features;;Model özellikleri;
Model name;;no;yes;no;;Model name;;Model adı;
Model type;;no;yes;no;;Model type;;Model türü;
Models;;no;yes;no;;Models;;Modeller;
Moderation;;no;yes;no;;Moderation;;Denetleme;
Moderation stage;;no;yes;no;;Moderation stage;;Denetleme aşaması;
Month;;no;yes;no;;Month;;Ay;
Months;;no;yes;no;;Months;;Ay;
More;;no;yes;no;;More;;Daha fazla;
More details;;no;yes;no;;More details;;Daha fazla ayrıntı;
Move reviews;;no;yes;no;;Move reviews;;Değerlendirmeleri taşı;
Multiple;;no;yes;no;;Multiple;;Çoklu;
My behavior profile;;no;yes;no;;My behavior profile;;Davranış profilim;
My feedback;;no;yes;no;;My feedback;;Geri bildirimlerim;
My goal;;no;yes;no;;My goal;;Hedefim;
My goals;;no;yes;no;;My goals;;Hedeflerim;
My note;;no;yes;no;;My note;;Notum;
My review;;no;yes;no;;My review;;Değerlendirmem;
My reviews;;no;yes;no;;My reviews;;Değerlendirmelerim;
Name;;no;yes;no;;Name;;Ad;
New manager;;no;yes;no;;New manager;;Yeni yönetici;
New password;;no;yes;no;;New password;;Yeni şifre;
Next;;no;yes;no;;Next;;Sonraki;
Next step;;no;yes;no;;Next step;;Sonraki adım;
Nickname;;no;yes;no;;Nickname;;Takma ad;
No career development plans;;no;yes;no;;No career development plans;;Kariyer gelişim planları yok;
No check-ins;;no;yes;no;;No check-ins;;Check-in görüşmesi yok;
No comments yet;;no;yes;no;;No comments yet;;Henüz yorum yok;
No compensation rounds;;no;yes;no;;No compensation rounds;;Tazminat turu yok;
No data;;no;yes;no;;No data;;Veri yok;
No description;;no;yes;no;;No description;;Açıklama yok;
No documents;;no;yes;no;;No documents;;Belge yok;
No feedback;;no;yes;no;;No feedback;;Geri bildirimler yok;
No goals;;no;yes;no;;No goals;;Hedef yok;
No goals yet;;no;yes;no;;No goals yet;;Henüz hedef yok;
No messages yet;;no;yes;no;;No messages yet;;Henüz mesaj yok;
No notes;;no;yes;no;;No notes;;Not yok;
No populations;;no;yes;no;;No populations;;Popülasyon yok;
No populations yet;;no;yes;no;;No populations yet;;Henüz popülasyon yok;
No priority;;no;yes;no;;No priority;;Öncelik yok;
No questions;;no;yes;no;;No questions;;Soru yok;
No results;;no;yes;no;;No results;;Sonuç yok;
No results found;;no;yes;no;;No results found;;Sonuç bulunamadı;
No value;;no;yes;no;;No value;;Değer yok;
Non-conditional;;no;yes;no;;Non-conditional;;Koşulsuz;
None;;no;yes;no;;None;;Hiçbiri;
Not completed;;no;yes;no;;Not completed;;Tamamlanmadı;
Not empty;;no;yes;no;;Not empty;;Boş değil;
Not released;;no;yes;no;;Not released;;Yayınlanmadı;
Not selected;;no;yes;no;;Not selected;;Seçilmedi;
Not started;;no;yes;no;;Not started;;Başlamadı;
Not submitted;;no;yes;no;;Not submitted;;Gönderilmedi;
Note;;no;yes;no;;Note;;Not;
Notes;;no;yes;no;;Notes;;Notlar;
Notification bell;;no;yes;no;;Notification bell;;Bildirim zili;
Notifications;;no;yes;no;;Notifications;;Bildirimler;
Nudge;;no;yes;no;;Nudge;;Dürtü;
Number;;no;yes;no;;Number;;Numara;
Number of days;;no;yes;no;;Number of days;;Gün sayısı;
Number of years;;no;yes;no;;Number of years;;Yıl sayısı;
Numeric;;no;yes;no;;Numeric;;Sayısal;
Observations;;no;yes;no;;Observations;;Gözlemler;
On track;;no;yes;no;;On track;;Yolunda;
Open;;no;yes;no;;Open;;Açık;
Operator;;no;yes;no;;Operator;;Operatör;
Optional;;no;yes;no;;Optional;;İsteğe bağlı;
Organization;;no;yes;no;;Organization;;Organizasyon;
Organization external ID;;no;yes;no;;Organization external ID;;Organizasyon harici kimliği;
Organizational;;no;yes;no;;Organizational;;Organizasyonel;
Organizational Units;;no;yes;no;;Organizational Units;;Organizasyon Birimleri;
Organizational goal;;no;yes;no;;Organizational goal;;Organizasyon hedefi;
Organizational unit;;no;yes;no;;Organizational unit;;Organizasyon birimi;
Other;;no;yes;no;;Other;;Diğer;
Outcome;;no;yes;no;;Outcome;;Sonuç;
Outlook;;no;yes;no;;Outlook;;Görünüm;
Overall behavior rating;;no;yes;no;;Overall behavior rating;;Genel davranış derecelendirmesi;
Overall performance;;no;yes;no;;Overall performance;;Genel performans;
Overall performance rating;;no;yes;no;;Overall performance rating;;Genel performans değerlendirmesi;
Overall progress;;no;yes;no;;Overall progress;;Genel ilerleme;
Overdue;;no;yes;no;;Overdue;;Gecikmiş;
Overview;;no;yes;no;;Overview;;Genel Bakış;
Owner;;no;yes;no;;Owner;;Sahibi;
Owners;;no;yes;no;;Owners;;Sahipler;
Participant;;no;yes;no;;Participant;;Katılımcı;
Participants;;no;yes;no;;Participants;;Katılımcılar;
Passport;;no;yes;no;;Passport;;Pasaport;
Password;;no;yes;no;;Password;;Şifre;
Past;;no;yes;no;;Past;;Geçmiş;
Pay Analysis;;no;yes;no;;Pay Analysis;;Ücret Analizi;
Pay Information;;no;yes;no;;Pay Information;;Ücret Bilgileri;
Pay Transparency;;no;yes;no;;Pay Transparency;;Ücret Şeffaflığı;
Pay analysis;;no;yes;no;;Pay analysis;;Ücret analizi;
Pay information;;no;yes;no;;Pay information;;Ücret bilgileri;
Pay information requests;;no;yes;no;;Pay information requests;;Ödeme bilgisi istekleri;
Pay range;;no;yes;no;;Pay range;;Ücret aralığı;
Payout;;no;yes;no;;Payout;;Ödeme;
Payout Curves;;no;yes;no;;Payout Curves;;Ödeme Eğrileri;
Payout curve;;no;yes;no;;Payout curve;;Ödeme eğrisi;
Payout curves;;no;yes;no;;Payout curves;;Ödeme eğrileri;
Payroll;;no;yes;no;;Payroll;;Bordro;
Payroll data drop;;no;yes;no;;Payroll data drop;;Bordro veri aktarımı;
Peers;;no;yes;no;;Peers;;Eşdüzeyler;
Pending;;no;yes;no;;Pending;;Beklemede;
Pending approval;;no;yes;no;;Pending approval;;Onay bekleniyor;
Pending confirmation;;no;yes;no;;Pending confirmation;;Onay bekleniyor;
Pending draft;;no;yes;no;;Pending draft;;Bekleyen taslak;
Pending publishing;;no;yes;no;;Pending publishing;;Yayınlanmayı bekliyor;
Pending sign-off;;no;yes;no;;Pending sign-off;;Onay bekleniyor;
People;;no;yes;no;;People;;Kişiler;
People day;;no;yes;no;;People day;;İK günü;
Percentage;;no;yes;no;;Percentage;;Yüzde;
Performance;;no;yes;no;;Performance;;Performans;
Performance Management;;no;yes;no;;Performance Management;;Performans Yönetimi;
Performance Reviews;;no;yes;no;;Performance Reviews;;Performans Değerlendirmeleri;
Performance check-ins;;no;yes;no;;Performance check-ins;;Check-in görüşmeleri;
Performance rating;;no;yes;no;;Performance rating;;Performans değerlendirmesi;
Performance review;;no;yes;no;;Performance review;;Performans değerlendirmesi;
Performance review details;;no;yes;no;;Performance review details;;Performans değerlendirmesi ayrıntıları;
Performance review templates;;no;yes;no;;Performance review templates;;Performans değerlendirmesi şablonları;
Period;;no;yes;no;;Period;;Dönem;
Period start date;;no;yes;no;;Period start date;;Dönem başlangıç tarihi;
Personal;;no;yes;no;;Personal;;Kişisel;
Personally identifiable information;;no;yes;no;;Personally identifiable information;;Kişisel olarak tanımlanabilir bilgi;
Phone number;;no;yes;no;;Phone number;;Telefon numarası;
Plan details;;no;yes;no;;Plan details;;Plan ayrıntıları;
Plan name;;no;yes;no;;Plan name;;Plan adı;
Plan stage;;no;yes;no;;Plan stage;;Plan aşaması;
Plan transmission;;no;yes;no;;Plan transmission;;Plan iletimi;
Planner;;no;yes;no;;Planner;;Planlayıcı;
Plans;;no;yes;no;;Plans;;Planlar;
Population;;no;yes;no;;Population;;Popülasyon;
Population criteria;;no;yes;no;;Population criteria;;Popülasyon kriterleri;
Populations;;no;yes;no;;Populations;;Popülasyonlar;
Position in pay range;;no;yes;no;;Position in pay range;;Ücret aralığındaki pozisyon;
Preview;;no;yes;no;;Preview;;Önizleme;
Preview document;;no;yes;no;;Preview document;;Belgeyi önizle;
Previous;;no;yes;no;;Previous;;Önceki;
Priority;;no;yes;no;;Priority;;Öncelik;
Privacy;;no;yes;no;;Privacy;;Gizlilik;
Privacy settings;;no;yes;no;;Privacy settings;;Gizlilik ayarları;
Privacy statement text;;no;yes;no;;Privacy statement text;;Gizlilik bildirimi metni;
Private;;no;yes;no;;Private;;Özel;
Proceed;;no;yes;no;;Proceed;;Devam et;
Processing;;no;yes;no;;Processing;;İşleniyor;
Professional;;no;yes;no;;Professional;;Profesyonel;
Progress;;no;yes;no;;Progress;;İlerleme;
Progress tracking;;no;yes;no;;Progress tracking;;İlerleme takibi;
Properties;;no;yes;no;;Properties;;Özellikler;
Proposal management;;no;yes;no;;Proposal management;;Teklif yönetimi;
Prorated target bonus;;no;yes;no;;Prorated target bonus;;Orantılı hedef prim;
Proxy;;no;yes;no;;Proxy;;Vekil;
Proxy access list;;no;yes;no;;Proxy access list;;Vekil erişim listesi;
Proxy permission;;no;yes;no;;Proxy permission;;Vekil izni;
Public;;no;yes;no;;Public;;Herkese açık;
Public feedback;;no;yes;no;;Public feedback;;Herkese açık geri bildirimler;
Publish;;no;yes;no;;Publish;;Yayınla;
Published;;no;yes;no;;Published;;Yayınlandı;
Published date;;no;yes;no;;Published date;;Yayınlanma tarihi;
Publishing;;no;yes;no;;Publishing;;Yayınlama;
Purpose;;no;yes;no;;Purpose;;Amaç;
Question;;no;yes;no;;Question;;Soru;
Questions;;no;yes;no;;Questions;;Sorular;
RTI request status;;no;yes;no;;RTI request status;;RTI talebi durumu;
Range;;no;yes;no;;Range;;Aralık;
Rate this feedback;;no;yes;no;;Rate this feedback;;Bu geri bildirimlere puan verin;
Rating;;no;yes;no;;Rating;;Derecelendirme;
Rating changed;;no;yes;no;;Rating changed;;Puan değişti;
Rating distribution;;no;yes;no;;Rating distribution;;Puan dağılımı;
Rating scale;;no;yes;no;;Rating scale;;Derecelendirme ölçeği;
Rating scales;;no;yes;no;;Rating scales;;Derecelendirme ölçekleri;
Read;;no;yes;no;;Read;;Oku;
Read only;;no;yes;no;;Read only;;Salt okunur;
Read status;;no;yes;no;;Read status;;Okunma durumu;
Read-only;;no;yes;no;;Read-only;;Salt okunur;
Ready;;no;yes;no;;Ready;;Hazır;
Reassign;;no;yes;no;;Reassign;;Yeniden Ata;
Reassign manager;;no;yes;no;;Reassign manager;;Yöneticiyi yeniden ata;
Reassigned;;no;yes;no;;Reassigned;;Yeniden Atandı;
Received;;no;yes;no;;Received;;Alındı;
Received behaviors;;no;yes;no;;Received behaviors;;Alınan davranışlar;
Received feedback;;no;yes;no;;Received feedback;;Alınan geri bildirimler;
Recipient;;no;yes;no;;Recipient;;Alıcı;
Recipients;;no;yes;no;;Recipients;;Alıcılar;
Recognition;;no;yes;no;;Recognition;;Takdir;
Recognized behaviors;;no;yes;no;;Recognized behaviors;;Takdir edilen davranışlar;
Recommended;;no;yes;no;;Recommended;;Önerilen;
Recurrence;;no;yes;no;;Recurrence;;Yinelenme;
Recurring;;no;yes;no;;Recurring;;Yinelenen;
Reference;;no;yes;no;;Reference;;Referans;
Reference number;;no;yes;no;;Reference number;;Referans numarası;
Refresh;;no;yes;no;;Refresh;;Yenile;
Region;;no;yes;no;;Region;;Bölge;
Regular;;no;yes;no;;Regular;;Düzenli;
Regular check-ins;;no;yes;no;;Regular check-ins;;Düzenli check-in görüşmeleri;
Reject;;no;yes;no;;Reject;;Reddet;
Rejected;;no;yes;no;;Rejected;;Reddedilen;
Relation;;no;yes;no;;Relation;;İlişki;
Release;;no;yes;no;;Release;;Yayınla;
Release status;;no;yes;no;;Release status;;Yayın durumu;
Released;;no;yes;no;;Released;;Yayınlandı;
Remaining;;no;yes;no;;Remaining;;Kalan;
Reminder name;;no;yes;no;;Reminder name;;Hatırlatıcı adı;
Reminders;;no;yes;no;;Reminders;;Hatırlatıcılar;
Remove;;no;yes;no;;Remove;;Kaldır;
Remove all;;no;yes;no;;Remove all;;Tümünü kaldır;
Rename;;no;yes;no;;Rename;;Yeniden adlandır;
Reopen;;no;yes;no;;Reopen;;Yeniden aç;
Reopen reviews;;no;yes;no;;Reopen reviews;;Değerlendirmeleri yeniden aç;
Reopened;;no;yes;no;;Reopened;;Yeniden açıldı;
Reply rate;;no;yes;no;;Reply rate;;Yanıtlama oranı;
Reports;;no;yes;no;;Reports;;Raporlar;
Republish;;no;yes;no;;Republish;;Yeniden yayınla;
Republished round;;no;yes;no;;Republished round;;Yeniden yayımlanan dönem;
Request;;no;yes;no;;Request;;Talep et;
Request ID;;no;yes;no;;Request ID;;İstek Kimliği;
Request date;;no;yes;no;;Request date;;Talep tarihi;
Request details;;no;yes;no;;Request details;;Talep ayrıntıları;
Request feedback;;no;yes;no;;Request feedback;;Geri bildirimler talep edin;
Request feedback from;;no;yes;no;;Request feedback from;;Şu kişiden geri bildirimler talep edin;
Request feedback now;;no;yes;no;;Request feedback now;;Şimdi geri bildirimler talep edin;
Request feedback on;;no;yes;no;;Request feedback on;;Şu konu hakkında geri bildirimler talep edin:;
Request pay information;;no;yes;no;;Request pay information;;Ücret bilgisi talep et;
Request status;;no;yes;no;;Request status;;İstek durumu;
Requested;;no;yes;no;;Requested;;Talep edildi;
Requested feedback;;no;yes;no;;Requested feedback;;Talep edilen geri bildirimler;
Requests;;no;yes;no;;Requests;;Talepler;
Requests about my team;;no;yes;no;;Requests about my team;;Ekibimle ilgili talepler;
Required;;no;yes;no;;Required;;Gerekli;
Resources;;no;yes;no;;Resources;;Kaynaklar;
Response permission;;no;yes;no;;Response permission;;Yanıt izni;
Resubmit;;no;yes;no;;Resubmit;;Yeniden gönder;
Result;;no;yes;no;;Result;;Sonuç;
Review;;no;yes;no;;Review;;Değerlendirme;
Review Details;;no;yes;no;;Review Details;;Ayrıntıları değerlendirmer;
Review Status;;no;yes;no;;Review Status;;Değerlendirmer Durumu;
Review about;;no;yes;no;;Review about;;Değerlendirme konusu;
Review challenge;;no;yes;no;;Review challenge;;Değerlendirmer itirazı;
Review name;;no;yes;no;;Review name;;Değerlendirme adı;
Review rating;;no;yes;no;;Review rating;;Değerlendirmer puanı;
Review rating distribution;;no;yes;no;;Review rating distribution;;Puan dağılımını değerlendirmer;
Review settings;;no;yes;no;;Review settings;;Değerlendirme ayarları;
Review stage;;no;yes;no;;Review stage;;Değerlendirme aşaması;
Review stages;;no;yes;no;;Review stages;;Değerlendirme aşamaları;
Review status;;no;yes;no;;Review status;;Değerlendirme durumu;
Review type;;no;yes;no;;Review type;;Değerlendirme türü;
Reviews;;no;yes;no;;Reviews;;Değerlendirmeler;
Role;;no;yes;no;;Role;;Görev;
Roles;;no;yes;no;;Roles;;Görevler;
Round;;no;yes;no;;Round;;Tur;
Round code;;no;yes;no;;Round code;;Dönem kodu;
Round details;;no;yes;no;;Round details;;Dönem ayrıntıları;
Round reminders;;no;yes;no;;Round reminders;;Tur hatırlatıcıları;
Round republished;;no;yes;no;;Round republished;;Tur yeniden yayımlandı;
Round type;;no;yes;no;;Round type;;Tur türü;
Round visibility;;no;yes;no;;Round visibility;;Tur görünürlüğü;
Rule configuration;;no;yes;no;;Rule configuration;;Kural yapılandırması;
Rule details;;no;yes;no;;Rule details;;Kural ayrıntıları;
Rule name;;no;yes;no;;Rule name;;Kural adı;
Rules;;no;yes;no;;Rules;;Kurallar;
Salary;;no;yes;no;;Salary;;Maaş;
Salary configuration;;no;yes;no;;Salary configuration;;Maaş yapılandırması;
Save;;no;yes;no;;Save;;Kaydet;
Save & exit;;no;yes;no;;Save & exit;;Kaydet ve çık;
Scale;;no;yes;no;;Scale;;Ölçek;
Search;;no;yes;no;;Search;;Ara;
Search by name;;no;yes;no;;Search by name;;İsme göre ara;
Search by name or code;;no;yes;no;;Search by name or code;;İsme veya koda göre ara;
Search for a person;;no;yes;no;;Search for a person;;Bir kişi ara;
Search for a worker;;no;yes;no;;Search for a worker;;Bir çalışan ara;
Search for workers;;no;yes;no;;Search for workers;;Çalışanları ara;
Secondary email;;no;yes;no;;Secondary email;;İkincil e-posta;
Secondary email address;;no;yes;no;;Secondary email address;;İkincil e-posta adresi;
Secondary hierarchy;;no;yes;no;;Secondary hierarchy;;İkincil hiyerarşi;
Section header;;no;yes;no;;Section header;;Bölüm başlığı;
Security;;no;yes;no;;Security;;Güvenlik;
Security group;;no;yes;no;;Security group;;Güvenlik grubu;
See all;;no;yes;no;;See all;;Tümünü gör;
Select;;no;yes;no;;Select;;Seç;
Select all;;no;yes;no;;Select all;;Tümünü seç;
Select an option;;no;yes;no;;Select an option;;Bir seçenek belirleyin;
Select communication round;;no;yes;no;;Select communication round;;İletişim turunu seçin;
Select data model;;no;yes;no;;Select data model;;Veri modelini seçin;
Select entity;;no;yes;no;;Select entity;;Varlık seçin;
Select filters;;no;yes;no;;Select filters;;Filtreleri seç;
Select goal;;no;yes;no;;Select goal;;Hedef seçin;
Select owners;;no;yes;no;;Select owners;;Sahipleri seç;
Select population;;no;yes;no;;Select population;;Popülasyonu seçin;
Select the compensation element;;no;yes;no;;Select the compensation element;;Tazminat unsurunu seçin;
Select type;;no;yes;no;;Select type;;Tür seçin;
Selected;;no;yes;no;;Selected;;Seçildi;
Selected column;;no;yes;no;;Selected column;;Seçilen sütun;
Selected fields;;no;yes;no;;Selected fields;;Seçilen alanlar;
Selected items;;no;yes;no;;Selected items;;Seçili öğeler;
Selected population;;no;yes;no;;Selected population;;Seçilen popülasyon;
Self;;no;yes;no;;Self;;Kişi, kendi;
Self-assessment;;no;yes;no;;Self-assessment;;Kendi değerlendirmesi;
Self-review;;no;yes;no;;Self-review;;Kendi kendine değerlendirme;
Send;;no;yes;no;;Send;;Gönder;
Send feedback;;no;yes;no;;Send feedback;;Geri bildirimler gönder;
Send to Documents;;no;yes;no;;Send to Documents;;Belgelere Gönder;
Sender;;no;yes;no;;Sender;;Gönderen;
Sensitive Content;;no;yes;no;;Sensitive Content;;Hassas İçerik;
Sent;;no;yes;no;;Sent;;Gönderilen;
Sent behaviors;;no;yes;no;;Sent behaviors;;Gönderilen davranışlar;
Sent feedback;;no;yes;no;;Sent feedback;;Gönderilen geri bildirimler;
