term,description,casesensitive,translatable,forbidden,tags,en-US,en-US_description,fr-FR,fr-FR_description,de-DE,de-DE_description,es-ES,es-ES_description,it-IT,it-IT_description,is-IS,is-IS_description,sv-SE,sv-SE_description
Existing range,,FALSE,TRUE,FALSE,PayAnalytics,Existing range,,Plage existant,,Bestehende Bandbreite,,Rango existente,,Intervallo esistente,,Talnabil í gögnum,,Befintligt intervall,
Extra salary,,FALSE,TRUE,FALSE,PayAnalytics,Extra salary,,Rémunération supplémentaire,,Zusätzliches Gehalt,,Complementos extrasalariales,,Stipendio extra,,Viðbótarlaun,,Extra lön,
Factor,,FALSE,TRUE,FALSE,PayAnalytics,Factor,,Facteur,,Faktortyp,,,,Fattore,,Flokkur,,Faktor,
Female predominant job class,,FALSE,TRUE,FALSE,PayAnalytics,Female predominant job class,,Classe d'emploi à prédominance féminine,,Weiblich dominierte Jobklasse,,Tipo de puesto de trabajo de predominio femenino,,Categoria di impiego a prevalenza femminile,,Starfaflokkur með konur í meirihluta,,Kvinnodominerad yrkeskategori,
Focus groups,,FALSE,TRUE,FALSE,PayAnalytics,Focus groups,,Groupes cibles,,Fokus Gruppen,,Grupos de estudio,,Focus group,,Áhersluhópar,,Fokusgrupper,
Gap,,FALSE,TRUE,FALSE,PayAnalytics,Gap,,,,Lücke,,Brecha,,,,Bil,,,
Gender,,FALSE,TRUE,FALSE,PayAnalytics,Gender,,Champ du sexe,,Geschlecht,,Género,,Genere,,Dálkur sem tilgreinir kyn,,Kön,
Gender distribution,,FALSE,TRUE,FALSE,PayAnalytics,Gender distribution,,Distribution des sexes,,Geschlechterverteilung,,Distribución por género,,Distribuzione di genere,,Kynjaskipting eftir hópi,,Könsfördelning,
Gender pay gaps,,FALSE,TRUE,FALSE,PayAnalytics,Gender pay gaps,,Écarts salariaux hommes-femmes,,Geschlechtsspezifische Lohnunterschiede,,Brechas salariales de género,,Differenze retributive di genere,,Launabil,,Lönegap mellan könen,
Granted operations,,FALSE,TRUE,FALSE,PayAnalytics,Granted operations,,Opérations accordées,,Gewährte Vorgänge,,Operaciones concedidas,,Operazioni autorizzate,,Heimilar aðgerðir,,Beviljade verksamheter,
Headcount,,FALSE,TRUE,FALSE,PayAnalytics,Headcount,,Effectif,,Mitarbeiterzahl,,Número de empleados,,Numero di dipendenti,,,,Antal anställda,
Hiring & attrition,,FALSE,TRUE,FALSE,PayAnalytics,Hiring & attrition,,Embauches et départs,,Neueinstellungen und Arbeitskräfteabgang,,Contrataciones y bajas,,Assunzioni e abbandoni,,Ráðningar og starfslok,,Anställning & avgångar,
Historical incumbency,,FALSE,TRUE,FALSE,PayAnalytics,Historical incumbency,,Occupation historique,,Historische Dauer der Inhaberschaft,,Historial ocupacional,,Settore tipicamente femminile/maschile,,Sögulega ríkjandi lýðfræðibreyta,,Historiskt tjänsteinnehav,
Initial values for raise suggestion parameters,,FALSE,TRUE,FALSE,PayAnalytics,Initial values for raise suggestion parameters,,Valeurs initiales des paramètres de suggestion d'augmentation,,Anfangswerte für Parameter für Lohnerhöhungsvorschläge,,Valores iniciales para parámetros de sugerencia de aumento,,Valori iniziali dei parametri dei suggerimenti di aumento,,Upphafsgildi fyrir launahækkunartillögur,,Ingångsvärden för parametrar för löneökningsförslag,
Inner circle (adjusted pay gap),,FALSE,TRUE,FALSE,PayAnalytics,Inner circle (adjusted pay gap),,Cercle intérieur (écart salarial ajusté),,Innerer Kreis (bereinigte Lohnlücke),,Círculo interior (brecha salarial ajustada),,Cerchio interno (divario retributivo rettificato),,Innri hringur (leiðrétt launabil),,Inre cirkel (Justerade lönegap),
Input parameters,,FALSE,TRUE,FALSE,PayAnalytics,Input parameters,,Paramètres d'entrée,,Eingabeparameter,,Parámetros de entrada,,Parametri input,,Valdir stikar,,Ingångsparametrar,
Internal mobility,,FALSE,TRUE,FALSE,PayAnalytics,Internal mobility,,Mobilité interne,,Interne Mobilität,,Movilidad interna,,Mobilità interna,,Tilfærslur,,Interna förflyttningar,
Interpreting pay gaps,,FALSE,TRUE,FALSE,PayAnalytics,Interpreting pay gaps,,Interpréter les écarts salariaux,,Dolmetschen von Lohnunterschieden,,Interpretación de las brechas salariales,,Interpretazione dei divari retributivi,,,,Tolkning av löneklyftor,
Introduction,,FALSE,TRUE,FALSE,PayAnalytics,Introduction,,,,Einführung,,Introducción,,Introduzione,,Inngangur,,Inledning,
Job,,FALSE,TRUE,FALSE,PayAnalytics,Job,,Poste,,,,Puesto de trabajo,,Lavoro,,Starf,,Jobb,
Job category,,FALSE,TRUE,FALSE,PayAnalytics,Job category,,Catégorie de travail,,Job-Kategorie,,Categoría laboral,,Categoria di lavoro,,Starfaflokkur,,Yrkeskategori,
Job class,,FALSE,TRUE,FALSE,PayAnalytics,Job class,,Classe d'emploi,,Jobklasse,,Tipo de puesto de trabajo,,categoria di impiego,,Starfaflokkur,,Yrkeskategori,
Job evaluation,,FALSE,TRUE,FALSE,PayAnalytics,Job evaluation,,Évaluation des emplois,,Bewertung der Arbeitsstelle,,Evaluación del puesto,,Valutazione del lavoro,,,,Jobbutvärdering,
Job points,,FALSE,TRUE,FALSE,PayAnalytics,Job points,,Points du poste,,Punktestand der Stellenbezeichnung,,Puntos del puesto de trabajo,,Punti lavoro,,Stig starfheitis,,Poäng på yrkestitel,
Job Title / Job Group,,FALSE,TRUE,FALSE,PayAnalytics,Job Title / Job Group,,Titre de l'emploi / Groupe de l'emploi,,Jobbezeichnung / Jobgruppe,,Título del puesto / Grupo del puesto,,Titolo professionale/Gruppo professionale,,Starfstitill / Starfshópur,,Arbetstitel/Arbetsgrupp,
Job to job comparison,,FALSE,TRUE,FALSE,PayAnalytics,Job to job comparison,,Comparaison entre emplois,,Vergleich von Jobs,,Comparación entre puestos de trabajo,,Confronto impiego a impiego,,Samanburður starfa,,Jämförelse mellan olika jobb,
Job value (points),,FALSE,TRUE,FALSE,PayAnalytics,Job value (points),,Valeur du poste (points),,Jobwert (Punkte),,Valor del puesto de trabajo (puntos),,Valore del lavoro (punti),,Virði starfs (stig),,Jobbvärde (poäng),
Key performance indicators (KPIs),,FALSE,TRUE,FALSE,PayAnalytics,Key performance indicators (KPIs),,Indicateurs clés de performance (KPIs),,Wichtige Leistungsindikatoren (KPIs),,Indicadores clave de rendimiento (KPIs),,Key Performance Indicators (KPI),,Lykilmælikvarðar,,Viktiga resultatindikatorer (KPI:er),
Label preview,,FALSE,TRUE,FALSE,PayAnalytics,Label preview,,Aperçu du label,,Voransicht des Labels,,Vista previa de la etiqueta,,Anteprima etichetta,,Textasýnishorn,,Förhandsvisning av etikett,
Level details,,FALSE,TRUE,FALSE,PayAnalytics,Level details,,Information du niveau,,Details des Niveaus,,Información sobre el nivel,,Dettagli livello,,Nánari upplýsingar um þrep,,Nivådetaljer,
Levels,,FALSE,TRUE,FALSE,PayAnalytics,Levels,,Niveaux,,Niveaus,,Niveles,,Livelli,,Þrep,,Nivåer,
Lower bound for raise suggestion,,FALSE,TRUE,FALSE,PayAnalytics,Lower bound for raise suggestion,,Limite inférieure pour la suggestion d'augmentations de rémunération,,Untergrenze für Lohnerhöhungsvorschlag,,Límite inferior para sugerir aumentos,,Limite inferiore per il suggerimento di aumento,,Lægri mörk fyrir launahækkunartillögur,,Nedre gräns för löneökningsförslag,
Lowest compensation,,FALSE,TRUE,FALSE,PayAnalytics,Lowest compensation,,Rémunération la moins élevée,,Niedrigstes Gehalt,,Remuneración más baja,,Retribuzione più bassa,,Lægstu laun,,Lägsta kompensationen,
Male-Female pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Male-Female pay gap,,Écart salarial entre hommes et femmes,,Lohngefälle zwischen Männern und Frauen,,Brecha salarial entre hombres y mujeres,,Divario retributivo tra uomini e donne,,,,Löneskillnader mellan män och kvinnor,
Maternity/Adoption leave,,FALSE,TRUE,FALSE,PayAnalytics,Maternity/Adoption leave,,Congé maternité/adoption,,,,,,,,,,,
Max limits reached,,FALSE,TRUE,FALSE,PayAnalytics,Max limits reached,,Limites maximales atteintes,,Maximale Grenzen erreicht,,Límites máximos alcanzados,,Limiti massimi raggiunti,,Hámarksmörkum náð,,Maximala gränser nådda,
Max raise,,FALSE,TRUE,FALSE,PayAnalytics,Max raise,,Augmentation maximale,,Maximale Erhöhung,,Aumento máximo,,Aumento massimo,,Hámarkshækkun,,Max löneökning,
Max raise and pay gap target,,FALSE,TRUE,FALSE,PayAnalytics,Max raise and pay gap target,,Augmentation maximale et objectif d'écart salarial,,Maximale Erhöhung und Ziel für den Lohnunterschied,,Aumento máximo y brecha salarial objetivo,,Aumento massimo e divario retributivo target,,Hámarkshækkun og launabilsmarkmið,,Maximal löneökning och mål för lönegap,
Maximum,,FALSE,TRUE,FALSE,PayAnalytics,Maximum,,,,Maximal,,Máximo,,Massimo,,Hæsta gildi,,Maximalt,
Maximum points for level,,FALSE,TRUE,FALSE,PayAnalytics,Maximum points for level,,Nombre maximal de points par niveau,,Maximale Punktzahl für Niveaus,,Puntos máximos por nivel,,Punti massimi per livello,,Hæsti fjöldi stiga fyrir þrep,,Maxpoäng på nivån,
Mean gender pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Mean gender pay gap,,Moyenne des écarts de rémunération entre sexes,,Durchschnittlicher geschlechtsspezifischer Lohnunterschied,,Brecha salarial de género media,,Divario retributivo medio di genere,,Óleiðrétt launabil miðað við meðaltal launa,,Snittlöneskillnad,
Median compensation,,FALSE,TRUE,FALSE,PayAnalytics,Median compensation,,Rémunération médiane,,Gehalts-Medianwert,,Remuneración mediana,,Retribuzione mediana,,Miðgildi launa,,Medianlön,
Median gender pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Median gender pay gap,,Médiane des écarts de rémunération entre sexes,,Geschlechtsspezifischer Lohnunterschied als Median,,Brecha salarial de género mediana,,Divario retributivo mediano di genere,,Óleiðrétt launabil miðað við miðgildi launa,,Medianlöneskillnad mellan könen,
Median hourly salary pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Median hourly salary pay gap,,Écart salarial horaire médian,,Durchschnittliches Lohngefälle pro Stunde,,Brecha salarial media por hora,,Differenza salariale oraria mediana,,,,Median timlöneskillnad,
Median pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Median pay gap,,Écart salarial médian,,Durchschnittliches Lohngefälle,,Brecha salarial media,,Divario retributivo mediano,,Miðgildi launabils,,Medianlöneskillnad,
Mid quartiles,,FALSE,TRUE,FALSE,PayAnalytics,Mid quartiles,,Quartiles médians,,Mittlere Quartile,,Cuartiles intermedios,,Quartili medi,,Miðfjórðungar,,Mittkvartiler,
Mid-point,,FALSE,TRUE,FALSE,PayAnalytics,Mid-point,,À mi-parcours,,Mittelpunkt,,Punto medio,,Punto intermedio,,Miðgildi,,Mittpunkt,
Minimum size for receiving raises,,FALSE,TRUE,FALSE,PayAnalytics,Minimum size for receiving raises,,Taille minimale pour recevoir des augmentations,,Mindestgröße für den Erhalt von Gehaltserhöhungen,,Tamaño mínimo para recibir aumentos,,Dimensione minima per ricevere gli aumenti,,,,Minsta storlek för att ta emot höjningar,
Moderately significant focus groups (before raises),,FALSE,TRUE,FALSE,PayAnalytics,Moderately significant focus groups (before raises),,Groupes de discussion modérément importants (avant les augmentations),,Mittelschwere Fokusgruppen (vor den Gehaltserhöhungen),,Grupos focales moderadamente importantes (antes de los aumentos),,Focus group moderatamente significativi (prima dei rilanci),,,,Måttligt signifikanta fokusgrupper (före höjningar),
Modify pay bands,,FALSE,TRUE,FALSE,PayAnalytics,Modify pay bands,,Modifier les fourchettes salariales,,Gehaltsspannen anpassen,,Modificar las bandas salariales,,Modifica le fasce retributive,,Breyta launaspönnum,,Ändra lönespann,
Nonbinary,,FALSE,TRUE,FALSE,PayAnalytics,Nonbinary,,Non-binaire,,Nicht binär,,No binario,,Non binario,,Kynsegin,,Icke-binär,
Not reported,,FALSE,TRUE,FALSE,PayAnalytics,Not reported,,Non communiqué,,Nicht angegeben,,No informado,,Non riportato,,Ekki uppgefið,,Inte angivet,
Number of employees,,FALSE,TRUE,FALSE,PayAnalytics,Number of employees,,Nombre d’employés,,Anzahl der Beschäftigten,,Número de empleados,,Numero di dipendenti,,Fjöldi starfsfólks,,Antal anställda,
Occupational stereotypes,,FALSE,TRUE,FALSE,PayAnalytics,Occupational stereotypes,,Stéréotypes professionnels,,Berufliche Stereotypen,,Estereotipos ocupacionales,,Stereotipi occupazionali,,Starfstengdar staðalímyndir,,Stereotyper inom yrket,
On temporary contracts,,FALSE,TRUE,FALSE,PayAnalytics,On temporary contracts,,Sous contrat temporaire,,Bei befristeten Arbeitsverträgen,,Con contrato temporal,,Con contratto a tempo determinato,,Á tímabundnum samningi,,På tillfälliga kontrakt,
optional,,FALSE,TRUE,FALSE,PayAnalytics,optional,,facultatif,,,,opcional,,facoltativo,,valkvætt,,valfritt,
Other factors,,FALSE,TRUE,FALSE,PayAnalytics,Other factors,,Autres facteurs,,Andere Faktoren,,Otros factores,,Altri fattori,,Aðrir matsþættir,,Andra faktorer,
Outlier percentage after raise (%),,FALSE,TRUE,FALSE,PayAnalytics,Outlier percentage after raise (%),,Pourcentage de valeurs aberrantes après augmentation (%),,Prozentsatz der Ausreißer nach Erhöhung (%),,Porcentaje atípico tras aumento (%),,Percentuale anomala dopo l'aumento (%),,Útlagagreining eftir hækkun (%),,Avvikande procentsats efter höjning (%),
Outlier percentage by gender,,FALSE,TRUE,FALSE,PayAnalytics,Outlier percentage by gender,,Pourcentage des valeurs aberrantes par sexe,,Ausreißeranteil nach Geschlecht,,Porcentaje de valores atípicos por género,,Percentuale di anomalia per genere,,Útlagaprósenta eftir kyni,,Överskridande andel enligt kön,
Overall representation,,FALSE,TRUE,FALSE,PayAnalytics,Overall representation,,Représentation globale,,Allgemeine Repräsentation,,Representación global,,Rappresentanza complessiva,,Heildarsamsetning,,Total representation,
Overview of demographic and position split,,FALSE,TRUE,FALSE,PayAnalytics,Overview of demographic and position split,,Aperçu de la répartition démographique et des postes,,Überblick über die Aufteilung von Demografie und Position,,Resumen de la división demográfica y de puestos,,Panoramica della suddivisione demografica e delle posizioni,,Yfirlit yfir lýðfræðiskiptingu hópa,,Översikt av demografisk fördelning och befattningar,
Part-time,,FALSE,TRUE,FALSE,PayAnalytics,Part-time,,Temps partiel,,Teilzeit,,Tiempo parcial,,,,Hlutastarf,,Deltid,
Part-time employees,,FALSE,TRUE,FALSE,PayAnalytics,Part-time employees,,Employés à temps partiel,,Teilzeitmitarbeitende,,Empleados a tiempo parcial,,Dipendenti part-time,,Starfsfólk í hlutastarfi,,Deltidsanställda,
Pay band ceiling,,FALSE,TRUE,FALSE,PayAnalytics,Pay band ceiling,,Plafond de l'fourchette salariale,,Gehaltsband-Obergrenze,,Límite máximo de banda salarial,,Soffitto a fascia retributiva,,Þak launaspannar,,Lönebandstak,
Pay band floor,,FALSE,TRUE,FALSE,PayAnalytics,Pay band floor,,Plancher salarial,,Bezahlen Sie Band Floor,,Sala de bandas de pago,,,,Gólf launaspannar,,Lönebandsgolv,
Pay bands,,FALSE,TRUE,FALSE,PayAnalytics,Pay bands,,Échelle de rémunération,,Bands spielen,,Bandas salariales,,Gruppi di pagamento,,,,Betalningsband,
Pay equity analysis,,FALSE,TRUE,FALSE,PayAnalytics,Pay equity analysis,,Analyse de l'équité salariale,,Analyse zur Lohngleichheit,,Análisis de equidad salarial,,Analisi della parità retributiva,,Jafnlaunagreining,,Lika lön-analys,
Pay Equity Overview,,FALSE,TRUE,FALSE,PayAnalytics,Pay Equity Overview,,Aperçu de l'équité salariale,,Überblick über die Lohngleichheit,,Descripción general de la igualdad salarial,,Panoramica sull'equità retributiva,,,,Översikt över lönekapital,
Pay equity target,,FALSE,TRUE,FALSE,PayAnalytics,Pay equity target,,Objectif d'équité salariale,,Gehaltseigenkapitalziel,,Objetivo de igualdad salarial,,Obiettivo di equità retributiva,,,,Löneskapitalmål,
Pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Pay gap,,Écart salarial,,Lohnunterschied,,Brecha salarial,,Divario retributivo,,Launabil,,Lönegap,
Pay Transparency,,FALSE,TRUE,FALSE,PayAnalytics,Pay Transparency,,Rémunération transparente,,Gehaltstransparenz,,Transparencia de pagos,,Trasparenza salariale,,Launagagnsæi,,Lönetransparens,
Point value,,FALSE,TRUE,FALSE,PayAnalytics,Point value,,Valeur en points,,Punktwert,,Valor en puntos,,Valore in punti,,Stig,,Poängens värde,
Points based on job evaluations only,,FALSE,TRUE,FALSE,PayAnalytics,Points based on job evaluations only,,Points basés uniquement sur les évaluations de l'emploi,,Punkte nur auf Basis von Stellenbewertungen,,Puntos basados solamente en las valoraciones de puestos de trabajo,,Punti basati solo sulle valutazioni del lavoro,,Stig eingöngu byggð á starfsmati,,Poäng baserade enbart på arbetsvärderingar,
Points column,,FALSE,TRUE,FALSE,PayAnalytics,Points column,,Colonne des points,,Punktespalte,,Columna de los puntos,,Colonna punti,,Dálkur sem tilgreinir virði,,Poängkolumn,
Position,,FALSE,TRUE,FALSE,PayAnalytics,Position,,Poste,,,,Posición,,Posizione,,Stöðugildi,,,
Position-in-Range after raise,,FALSE,TRUE,FALSE,PayAnalytics,Position-in-Range after raise,,Position à portée après l'augmentation,,Position in Reichweite nach Erhöhung,,Posición dentro del rango tras subida,,Posizione nel range dopo il rialzo,,Staða í spönn eftir hækkun,,Position inom räckvidd efter höjning,
Position-in-Range before raise,,FALSE,TRUE,FALSE,PayAnalytics,Position-in-Range before raise,,Position à portée avant l'augmentation,,Position in Reichweite vor Erhöhung,,Posición dentro del rango antes de la subida,,Posizione nel range prima del rialzo,,Staða í spönn fyrir hækkun,,Position inom räckhåll före höjning,
Predicted compensation,,FALSE,TRUE,FALSE,PayAnalytics,Predicted compensation,,Rémunération prévue,,Voraussichtliches Gehalt,,Remuneración prevista,,Retribuzione prevista,,Áætluð laun,,Förutsedd lön,
Predominant demographic value of comparison group,,FALSE,TRUE,FALSE,PayAnalytics,Predominant demographic value of comparison group,,Valeur démographique prédominante du groupe de comparaison,,Überwiegender demografischer Wert der Vergleichsgruppe,,Valor demográfico predominante del grupo de comparación,,Valore demografico predominante del gruppo di confronto,,Ríkjandi lýðfræðibreyta samanburðarhóps,,Dominerande demografiskt värde för jämförelsegrupp,
Previous exchange rate,,FALSE,TRUE,FALSE,PayAnalytics,Previous exchange rate,,Taux de change précédent,,Bisheriger Wechselkurs,,Tipo de cambio anterior,,Tasso di cambio precedente,,Fyrri gengisskráning,,Tidigare växelkurs,
Primary currency,,FALSE,TRUE,FALSE,PayAnalytics,Primary currency,,Devise principale,,Hauptwährung,,Divisa principal,,Valuta principale,,Aðalgjaldmiðill,,Primär valuta,
Progress Toward Pay Equity,,FALSE,TRUE,FALSE,PayAnalytics,Progress Toward Pay Equity,,Progrès en matière d'équité salariale,,Fortschritte auf dem Weg zur Lohngleichheit,,El progreso hacia la igualdad salarial,,Progressi verso l'equità retributiva,,,,Framsteg mot lönejämlikhet,
Quartile,,FALSE,TRUE,FALSE,PayAnalytics,Quartile,,,,Viertelwert,,Cuartil,,,,Fjórðungur,,Kvartil,
Quartile boundaries,,FALSE,TRUE,FALSE,PayAnalytics,Quartile boundaries,,Frontières des quartiles,,Quartilsgrenzen,,Límites de los cuartiles,,Limiti del quartile,,Fjórðungamörk,,Kvartilgränser,
Quartile pay bands,,FALSE,TRUE,FALSE,PayAnalytics,Quartile pay bands,,Quartiles de rémunération,,Quartile Lohnbänder,,Bandas salariales por cuartiles,,Fasce retributive del quartile,,Fjórðungslaunabil,,Löneintervall per kvartil,
Raise,,FALSE,TRUE,FALSE,PayAnalytics,Raise,,Augmentation,,Lohnerhöhung,,Aumento,,Aumento,,Launahækkun,,Löneökning,
Raise allocations,,FALSE,TRUE,FALSE,PayAnalytics,Raise allocations,,Répartition des augmentations,,Lohnerhöhungszuordnungen,,Distribución de los aumentos,,Ripartizione degli aumenti,,Dreifing launahækkana,,Höja anslagen,
Raise ceiling,,FALSE,TRUE,FALSE,PayAnalytics,Raise ceiling,,Augmentation maximale,,Obergrenze für Lohnerhöhung,,Aumento máximo,,Massimale aumento,,Þak á hækkun,,Tak för löneökning,
Raise configuration,,FALSE,TRUE,FALSE,PayAnalytics,Raise configuration,,Configuration des augmentations,,Konfiguration der Gehaltserhöhung,,Configuración de los aumentos,,Configurazione aumento,,Stillingar fyrir launahækkanir,,Konfiguration av löneökning,
Raise effect on pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Raise effect on pay gap,,Effet de l'augmentation salariale sur l'écart salarial,,Auswirkung der Lohnerhöhung auf den Lohnunterschied,,Efecto del aumento en la brecha salarial,,Effetto dell'aumento sul divario retributivo,,Áhrif hækkunar á launabil,,Löneökningens effekt på lönegapet,
Raise in percentages,,FALSE,TRUE,FALSE,PayAnalytics,Raise in percentages,,Augmentation en pourcentage,,Lohnerhöhung in Prozentsätzen,,Aumento en porcentajes,,Aumento in percentuale,,Hækkun í prósentum,,Löneökning i procentandelar,
Raise suggestion configuration,,FALSE,TRUE,FALSE,PayAnalytics,Raise suggestion configuration,,Augmenter la configuration des suggestions,,Konfiguration des Vorschlags einreichen,,Aumentar la configuración de sugerencias,,Aumentare la configurazione dei suggerimenti,,,,Höj förslagskonfigurationen,
Range,,FALSE,TRUE,FALSE,PayAnalytics,Range,,Plage,,Bereich:,,Rango,,Intervallo,,Bil,,Intervall,
Ratio,,FALSE,TRUE,FALSE,PayAnalytics,Ratio,,,,Verhältnis,,,,Rapporto,,Hlutfall,,Proportion,
Ratio between average of groups,,FALSE,TRUE,FALSE,PayAnalytics,Ratio between average of groups,,Ratio entre la moyenne des groups,,Verhältnis zwischen den Durchschnittswerten der Gruppen,,Índice entre la media de los grupos,,Rapporto tra la media dei gruppi,,Hlutfall meðaltala hópa,,Förhållande mellan gruppers genomsnitt,
Ratio between median of groups,,FALSE,TRUE,FALSE,PayAnalytics,Ratio between median of groups,,Ratio entre la médiane des groupes,,Verhältnis zwischen den Medianen der Gruppen,,Ratio entre la mediana de los grupos,,Rapporto tra le mediane dei gruppi,,Hlutfall milli miðgildis hópa,,Förhållande mellan medianvärden för grupperna,
Received a bonus payment,,FALSE,TRUE,FALSE,PayAnalytics,Received a bonus payment,,A reçu une prime,,Hat eine Bonuszahlung erhalten,,Recibió una bonificación,,Hanno ricevuto un bonus,,Fékk bónusgreiðslu,,Erhållit en bonusutbetalning,
Received benefits in kind,,FALSE,TRUE,FALSE,PayAnalytics,Received benefits in kind,,A reçu des avantages en nature,,Hat Sachbezüge erhalten,,Recibió prestaciones en especie,,Hanno ricevuto prestazioni in natura,,Naut fríðinda,,Mottagna naturaförmåner,
Reference group,,FALSE,TRUE,FALSE,PayAnalytics,Reference group,,Groupe de référence,,Referenzgruppe,,Grupo de referencia,,Gruppo di riferimento,,Viðmiðunarhópur,,Referensgrupp,
Reference group average compensation,,FALSE,TRUE,FALSE,PayAnalytics,Reference group average compensation,,Rémunération moyenne du groupe de référence,,Durchschnittsvergütung der Referenzgruppe,,Compensación media del grupo de referencia,,Retribuzione media del gruppo di riferimento,,,,Genomsnittlig ersättning för referensgrupp,
Regression coefficient,,FALSE,TRUE,FALSE,PayAnalytics,Regression coefficient,,Coefficient de régression,,Regressionskoeffizient,,Coeficiente de regresión,,Coefficiente di regressione,,Stiki,,Regressionskoefficient,
Regression intercept term,,FALSE,TRUE,FALSE,PayAnalytics,Regression intercept term,,Terme d'interception de la régression,,Regressions-Achsenabschnittsterm,,Término de intercepción de la regresión,,Intercetta della regressione,,Skurðpunktur,,Skärningspunkt,
Regression results,,FALSE,TRUE,FALSE,PayAnalytics,Regression results,,Résultats de la régression,,Regressionsergebnisse,,Resultados de la regresión,,Risultati della regressione,,Niðurstaða aðhvarfsgreiningar,,Regressionsresultat,
Regular employees (full-time and permanent),,FALSE,TRUE,FALSE,PayAnalytics,Regular employees (full-time and permanent),,Employés fixes (temps plein et permanent),,Festangestellte Mitarbeitende (Vollzeit und unbefristet),,Empleados fijos (a tiempo completo e indefinido),,Dipendenti regolari (a tempo pieno e indeterminato),,Reglulegt starfsfólk (fullt starf og framtíðarsamningur),,Ordinarie anställda (heltids- och tillsvidareanställda),
Representation across compensation structure,,FALSE,TRUE,FALSE,PayAnalytics,Representation across compensation structure,,Représentation dans la structure salariale,,Repräsentation innerhalb der Vergütungsstruktur,,Representación en la estructura retributiva,,Rappresentazione in tutta la struttura retributiva,,Fjölbreytileiki þvert á launauppbyggingu,,Representation över hela ersättningsstrukturen,
Representation by category,,FALSE,TRUE,FALSE,PayAnalytics,Representation by category,,Représentation par catégorie,,Repräsentation nach Kategorie,,Representación por categoría,,Rappresentazione per categoria,,Fjölbreytileiki eftir flokkum,,Representation efter kategori,
R² value,,FALSE,TRUE,FALSE,PayAnalytics,R² value,,Valeur R²,,R²-Wert,,Valor del R²,,Valore dell'R²,,R² gildi,,R²-värde,
Salary,,FALSE,TRUE,FALSE,PayAnalytics,Salary,,Salaire,,Gehalt,,Salario,,Salario,,,,Lön,
Salary - Pay Gap,,FALSE,TRUE,FALSE,PayAnalytics,Salary - Pay Gap,,Salaire et écart salarial,,Gehalt — Lohngefälle,,Salario: brecha salarial,,Salario - Divario retributivo,,,,Lön - Löneskillnad,
Salary - Quartile pay bands,,FALSE,TRUE,FALSE,PayAnalytics,Salary - Quartile pay bands,,Salaire : tranches salariales par quartiles,,Gehalt — Quartile Paybands,,Salario: bandas salariales del cuartil,,Stipendio - Fasce retributive del quartile,,,,Lön - Kvartillöneband,
Salary by categories of workers,,FALSE,TRUE,FALSE,PayAnalytics,Salary by categories of workers,,Salaire par catégorie de travailleurs,,Gehalt nach Kategorien von Arbeitnehmern,,Salario por categorías de trabajadores,,Salario per categorie di lavoratori,,,,Lön efter kategorier av arbetstagare,
Salary component,,FALSE,TRUE,FALSE,PayAnalytics,Salary component,,Élément de la rémunération,,Gehaltsbestandteil,,Complementos salariales,,Componente salariale,,Launaþáttur,,Lönekomponent,
Salary component analyzed,,FALSE,TRUE,FALSE,PayAnalytics,Salary component analyzed,,Élément de rémunération analysé,,Gehaltskomponente analysiert,,Componente de la remuneración analizado,,Componente salariale analizzata,,Launabreyta notuð í greiningu,,Analyserad lönekomponent,
Saving all raises,,FALSE,TRUE,FALSE,PayAnalytics,Saving all raises,,Enregistrement de toutes les augmentations,,Alle Erhöhungen werden gespeichert,,Guardando todos los aumentos,,Salva tutti gli aumenti,,Vista allar hækkanir,,Spara alla löneökningar,
Set to EEOC pay brackets,,FALSE,TRUE,FALSE,PayAnalytics,Set to EEOC pay brackets,,Établir les fourchettes de rémunération de EEOC,,Auf EEOC-Lohnbänder einstellen,,Ajustar a las bandas salariales del EEOC,,Imposta fasce retributive EEOC,,Stilla á stöðluð EEOC launabil,,Ställ in på EEOC-löneintervall,
should be lower than max raise,,FALSE,TRUE,FALSE,PayAnalytics,should be lower than max raise,,doit être inférieur à l'augmentation de rémunération max.,,muss niedriger als maximale Lohnerhöhung sein,,debería ser inferior al aumento máximo,,deve essere inferiore all'aumento massimo,,þarf að vera lægri en hámarkshækkun,,måste vara lägre än den maximala löneökningen,
Significance level,,FALSE,TRUE,FALSE,PayAnalytics,Significance level,,Niveau de signification,,Signifikanzniveau,,Nivel de significación,,Livello di significatività,,Marktækni,,Signifikansnivå,
Significance target,,FALSE,TRUE,FALSE,PayAnalytics,Significance target,,Objectif de significativité,,Signifikanzziel,,Objetivo de significancia,,Obiettivo di significatività,,Marktæknismarkmið,,Signifikansmål,
