term,description,casesensitive,translatable,forbidden,tags,en-US,en-US_description,fr-FR,fr-FR_description,de-DE,de-DE_description,en-GB,en-GB_description,it-IT,it-IT_description,th-TH,th-TH_description,es-ES,es-ES_description,pt-PT,pt-PT_description,ja-JP,ja-JP_description,nl-NL,nl-NL_description,tr-TR,tr-TR_description,id-ID,id-ID_description
Feedback received,,no,yes,no,,Feedback received,,Feedback reçu,,Erhaltenes Feedback,,Feedback received,,Feedback ricevuti,,ฟีดแบคที่ได้รับ,,Comentarios recibidos,,Feedback recebido,,受信したフィードバック,,Feedback ontvangen,,Geri bildirimler alındı,,Umpan balik diterima,
Feedback request,,no,yes,no,,Feedback request,,Demande de feedback,,Feedback-Anfrage,,Feedback request,,Richiesta di feedback,,คำขอฟีดแบค,,Solicitud de comentarios,,Pedido de feedback,,フィードバックリクエスト,,Feedbackverzoek,,Geri bildirimlere ilişkin talep,,Permintaan umpan balik,
Feedback requested,,no,yes,no,,Feedback requested,,Feedback demandé,,Feedback angefordert,,Feedback requested,,Feedback richiesto,,ฟีดแบคที่ขอ,,Se ha solicitado retroalimentación,,Feedback solicitado,,フィードバックがリクエストされました,,Feedback gevraagd,,Geri bildirimler talep edildi,,Umpan balik diminta,
Field,,no,yes,no,,Field,,Champ,,Feld,,Field,,Campo,,ฟิลด์,,Campo,,Campo,,フィールド,,Veld,,Alan,,Bidang,
Final validation,,no,yes,no,,Final validation,,Validation finale,,Endgültige Validierung,,Final validation,,Convalida finale,,การตรวจสอบความถูกต้องขั้นสุดท้าย,,Validación final,,Validação final,,最終検証,,Definitieve validatie,,Son doğrulama,,Validasi akhir,
For managers,,no,yes,no,,For managers,,Pour les managers,,Für Führungskräfte,,For managers,,Per i manager,,สำหรับหัวหน้างาน,,Para responsables,,Para gestores,,マネージャ向け,,Voor managers,,Yöneticiler için,,Untuk manajer,
For workers,,no,yes,no,,For workers,,Pour les employé(e)s,,Für Mitarbeiter:innen,,For workers,,Per i collaboratori,,สำหรับพนักงาน,,Para trabajadores,,Para trabalhadores,,従業員向け,,Voor werknemers,,Çalışanlar için,,Untuk pekerja,
Forms,,no,yes,no,,Forms,,Formulaires,,Formulare,,Forms,,Moduli,,,,Formularios,,Formulários,,フォーム,,Formulieren,,Formlar,,Formulir,
Formula,,no,yes,no,,Formula,,Formule,,Formel,,Formula,,,,สูตร,,Fórmula,,Fórmula,,数式,,Formule,,Formül,,Rumus,
Gender,,no,yes,no,,Gender,,Sexe,,Geschlecht,,Gender,,Genere,,,,Género,,Género,,性別,,Geslacht,,Cinsiyet,,,
Global currency,,no,yes,no,,Global currency,,Devise globale,,Weltwährung,,Global currency,,Valuta globale,,สกุลเงินสากล,,Moneda global,,Moeda global,,グローバル通貨,,Wereldwijde valuta,,Küresel para birimi,,Mata uang global,
Global worker category,,no,yes,no,,Global worker category,,Catégorie d'employé(e) globale,,Globale Mitarbeiter:innenkategorie,,Global worker category,,Categoria globale dei Collaboratori,,หมวดหมู่พนักงานระดับโลก,,Categoría global de colaborador/a,,Categoria de trabalhador global,,グローバル社員カテゴリー,,Wereldwijde werkerscategorie,,Global çalışan kategorisi,,Kategori pekerja global,
Goal,,no,yes,no,,Goal,,Objectif,,Ziel,,Goal,,Obiettivo,,เป้าหมาย,,Objetivo,,Objetivo,,目標,,Doel,,Hedef,,Tujuan,
Goal ID,,no,yes,no,,Goal ID,,ID de l'objectif,,Ziel-ID,,Goal ID,,ID obiettivo,,รหัสเป้าหมาย,,ID del objetivo,,ID do objetivo,,目標ID,,Doel-ID,,Hedef kimliği,,ID sasaran,
Goal Tag Libraries,,no,yes,no,,Goal Tag Libraries,,Bibliothèques d'étiquettes d'objectifs,,Ziel-Tag-Bibliotheken,,Goal Tag Libraries,,Librerie dei tag degli obiettivi,,ไลบรารีแท็กเป้าหมาย,,Bibliotecas de etiquetas de objetivos,,Bibliotecas de etiquetas de objetivos,,目標タグライブラリ,,Doelbibliotheken,,Hedef Etiket Kitaplıkları,,Katalog Tag Tujuan,
Goal achievement,,no,yes,no,,Goal achievement,,Réalisation des objectifs,,Zielerreichung,,Goal achievement,,Conseguimento obiettivo,,การบรรลุเป้าหมาย,,Logro de objetivo,,Realização de objetivos,,目標達成率,,Doelbereiking,,Hedef başarısı,,Pencapaian tujuan,
Goal alignment,,no,yes,no,,Goal alignment,,Alignement de l'objectif,,Zielausrichtung,,Goal alignment,,Allineamento degli obiettivi,,การจัดตำแหน่งเป้าหมาย,,Alineación de objetivos,,Alinhamento de objetivos,,目標のすり合わせ,,Afstemming van doelen,,Hedef uyumu,,Penyelarasan tujuan,
Goal creator,,no,yes,no,,Goal creator,,Créateur de l'objectif,,Zielersteller:in,,Goal creator,,Creatore dell'obiettivo,,ผู้สร้างเป้าหมาย,,Creador del objetivo,,Criador de objetivos,,目標作成者,,Doelmaker,,Hedef oluşturucu,,Pembuat tujuan,
Goal details,,no,yes,no,,Goal details,,Détails de l'objectif,,Details,,Goal details,,Dettagli dell'obiettivo,,รายละเอียดเป้าหมาย,,Detalles del objetivo,,Detalhes do objetivo,,目標の詳細,,Doeldetails,,Hedef ayrıntıları,,Detail tujuan,
Goal name,,no,yes,no,,Goal name,,Nom de l'objectif,,Zielname,,Goal name,,Nome obiettivo,,ชื่อเป้าหมาย,,Nombre del objetivo,,Nome do objetivo,,目標名,,Doelnaam,,Hedef adı,,Nama tujuan,
Goal overview,,no,yes,no,,Goal overview,,Aperçu de l'objectif,,Zielübersicht,,Goal overview,,Panoramica degli obiettivi,,ภาพรวมเป้าหมาย,,Resumen de objetivo,,Visão geral do objetivo,,目標の概要,,Doelenoverzicht,,Hedefe genel bakış,,Gambaran umum tujuan,
Goal owner,,no,yes,no,,Goal owner,,Titulaire de l'objectif,,Ziel-Eigentümer:in,,Goal owner,,Proprietario dell'obiettivo,,เจ้าของเป้าหมาย,,Portería del objetivo,,Proprietário do objetivo,,目標オーナー,,Doeleigenaar,,Hedef sahibi,,Pemilik tujuan,
Goal period,,no,yes,no,,Goal period,,Période d'objectifs,,Zielzeitraum,,Goal period,,Periodo dell'obiettivo,,ช่วงเวลาเป้าหมาย,,Período del objetivo,,Período do objetivo,,目標期間,,Doelperiode,,Hedef dönemi,,Periode tujuan,
Goal plan,,no,yes,no,,Goal plan,,Plan d'objectifs,,Zielplan,,Goal plan,,Piano degli obiettivi,,แผนเป้าหมาย,,Plan de objetivos,,Plano de objetivos,,目標計画,,Doelplan,,Hedef planı,,Rencana tujuan,
Goal priority,,no,yes,no,,Goal priority,,Priorité de l'objectif,,Zielpriorität,,Goal priority,,Priorità degli obiettivi,,ลำดับความสำคัญของเป้าหมาย,,Prioridad del objetivo,,Prioridade do objetivo,,目標の優先度,,Doelprioriteit,,Hedef önceliği,,Prioritas tujuan,
Goal progress,,no,yes,no,,Goal progress,,Progression de l'objectif,,Zielfortschritt,,Goal progress,,Avanzamento degli obiettivi,,ความคืบหน้าเป้าหมาย,,Progreso del objetivo,,Progresso do objetivo,,目標の進捗,,Voortgang van doelen,,Hedef ilerlemesi,,Progres tujuan,
Goal status,,no,yes,no,,Goal status,,Statut de l'objectif,,Zielstatus,,Goal status,,Stato obiettivo,,สถานะเป้าหมาย,,Estado del objetivo,,Estado do objetivo,,目標ステータス,,Doelstatus,,Hedef durumu,,Status tujuan,
Goal tags,,no,yes,no,,Goal tags,,Etiquettes de l'objectif,,Ziel-Tags,,Goal tags,,Tag degli obiettivi,,แท็กเป้าหมาย,,Etiquetas de objetivo,,Etiquetas de objetivos,,目標タグ,,Doeltags,,Hedef etiketleri,,Tag tujuan,
Goal title,,no,yes,no,,Goal title,,Titre de l'objectif,,Zieltitel,,Goal title,,Titolo dell'obiettivo,,ชื่อเป้าหมาย,,Título del objetivo,,Título do objetivo,,目標タイトル,,Doeltitel,,Hedef başlığı,,Judul tujuan,
Goal tracking status,,no,yes,no,,Goal tracking status,,Statut de suivi de l'objectif,,Zielverfolgungsstatus,,Goal tracking status,,Stato di monitoraggio degli obiettivi,,สถานะการติดตามเป้าหมาย,,Estado de seguimiento de objetivo,,Estado de monitorização do objetivo,,目標の追跡ステータス,,Status van doelbewaking,,Hedef takip durumu,,Status pelacakan tujuan,
Goal type,,no,yes,no,,Goal type,,Type d'objectif,,Zieltyp,,Goal type,,Tipo di obiettivo,,ประเภทเป้าหมาย,,Tipo de objetivo,,Tipo de objetivo,,目標タイプ,,Doeltype,,Hedef türü,,Jenis tujuan,
Goal type weight,,no,yes,no,,Goal type weight,,Poids du type d'objectif,,Zieltyp-Gewichtung,,Goal type weight,,Peso del tipo di obiettivo,,ประเภทน้ำหนักของเป้าหมาย,,Peso del tipo de objetivo,,Peso do tipo de objetivo,,目標タイプの重み,,Doeltype gewicht,,Hedef türü ağırlığı,,Bobot jenis tujuan,
Goal weight,,no,yes,no,,Goal weight,,Poids de l'objectif,,Zielgewicht,,Goal weight,,Peso obiettivo,,น้ำหนักเป้าหมาย,,Peso objetivo,,Peso objetivo,,目標体重,,Streefgewicht,,Hedef kilo,,Berat tujuan,
Goal workflow,,no,yes,no,,Goal workflow,,Workflow de l'objectif,,Ziel-Workflow,,Goal workflow,,Flusso di lavoro degli obiettivi,,เวิร์กโฟลว์เป้าหมาย,,Flujo de trabajo de objetivos,,Fluxo de trabalho do objetivo,,目標ワークフロー,,Doelwerkstroom,,Hedef iş akışı,,Alur kerja tujuan,
Grade,,no,yes,no,,Grade,,Echelon,,Note,,Grade,,Grado,,เกรด,,Calificación,,Ano,,成績,,Cijfer,,Not,,Nilai,
Guaranteed amount,,no,yes,no,,Guaranteed amount,,Montant garanti,,Garantierter Betrag,,Guaranteed amount,,Importo garantito,,จำนวนที่รับประกัน,,Importe garantizado,,Montante garantido,,保証額,,Gegarandeerd bedrag,,Garantili tutar,,Jumlah yang dijamin,
Guaranteed amount rule,,no,yes,no,,Guaranteed amount rule,,Règle de montant garanti,,Regel zum garantierten Betrag,,Guaranteed amount rule,,Regola dell'importo garantito,,กฎจำนวนเงินรับประกัน,,Regla de importe garantizado,,Regra de montante garantido,,保証金額ルール,,Regel voor gegarandeerd bedrag,,Garantili tutar kuralı,,Aturan jumlah yang dijamin,
Guideline,,no,yes,no,,Guideline,,Recommandation,,Richtlinie,,Guideline,,Linea guida,,แนวทางปฏิบัติ,,Directriz,,Diretriz,,ガイドライン,,Richtlijn,,Kılavuz,,Panduan,
HRBP approval,,no,yes,no,,HRBP approval,,Approbation HRBP,,HRBP-Genehmigung,,HRBP approval,,Approvazione HRBP,,การอนุมัติ HRBP,,Aprobación de HRBP,,Aprovação do HRBP,,HRBPの承認,,HRBP-goedkeuring,,İK iş ortağı onayı,,Persetujuan HRBP,
HRBP review,,no,yes,no,,HRBP review,,Revue HRBP,,HRBP-Bewertung,,HRBP review,,Revisione HRBP,,การประเมินผลงาน HRBP,,Evaluación del HRBP,,Avaliação de HRBP,,HRBPレビュー,,HRBP-beoordeling,,İK iş ortağı değerlendirmesi,,Ulasan HRBP,
Hierarchy,,no,yes,no,,Hierarchy,,Hiérarchie,,Hierarchie,,Hierarchy,,Gerarchia,,ลำดับชั้น,,Jerarquía,,Hierarquia,,階層,,Hiërarchie,,Hiyerarşi,,Hierarki,
Historical Reviews,,no,yes,no,,Historical Reviews,,Bilans passés,,Frühere Beurteilungen,,Historical Reviews,,Cronologia revisioni,,การประเมินผลงานในอดีต,,Historial de evaluaciones,,Avaliações históricas,,過去のレビュー,,Historische beoordelingen,,Geçmiş Değerlendirmeler,,Riwayat Ulasan,
Historical compensation,,no,yes,no,,Historical compensation,,Rémunération historique,,Historische Entschädigung,,Historical compensation,,Compensazione storica,,ค่าชดเชยย้อนหลัง,,Compensación histórica,,Compensação histórica,,歴史的な補償,,Historische compensatie,,Tarihi tazminat,,Kompensasi historis,
Individual goal,,no,yes,no,,Individual goal,,Objectif individuel,,Individuelles Ziel,,Individual goal,,Obiettivo individuale,,เป้าหมายรายบุคคล,,Objetivo individual,,Objetivo individual,,個人の目標,,Individueel doel,,Bireysel hedef,,Tujuan individu,
Insights,,no,yes,no,,Insights,,Opinions,,Einblicke,,Insights,,Approfondimenti,,ข้อมูลเชิงลึก,,Información,,Perceções,,洞察,,Inzichten,,İçgörüler,,Wawasan,
Job code,,no,yes,no,,Job code,,Code de poste,,Stellencode,,Job code,,Codice lavoro,,รหัสงาน,,Código de puesto,,Código de trabalho,,職務コード,,Functiecode,,İş kodu,,Kode pekerjaan,
Job level,,no,yes,no,,Job level,,Niveau de poste,,Jobebene,,Job level,,Livello lavorativo,,ระดับงาน,,Nivel de puesto,,Nível de cargo,,職位レベル,,Functieniveau,,İş seviyesi,,Tingkat jabatan,
Job title,,no,yes,no,,Job title,,Intitulé de poste,,Berufsbezeichnung,,Job title,,Titolo mansione,,ชื่อตำแหน่งงาน,,Cargo,,Cargo,,職種,,Functietitel,,İş unvanı,,Judul pekerjaan,
Label,,no,yes,no,,Label,,Libellé,,Beschriftung,,Label,,Etichetta,,ป้ายกำกับ,,Etiqueta,,Etiqueta,,ラベル,,,,Etiket,,,
Leave of absence,,no,yes,no,,Leave of absence,,Congé,,Beurlaubung,,Leave of absence,,Congedo,,การลางาน,,Permiso de ausencia,,Licença de ausência,,休職,,Verlof,,İzinli ayrılma,,Cuti,
Legal entity,,no,yes,no,,Legal entity,,Entité légale,,Juristische Person,,Legal entity,,Persona giuridica,,นิติบุคคล,,Entidad jurídica,,Entidade jurídica,,法人,,Rechtspersoon,,Tüzel kişi,,Badan hukum,
Less than,,no,yes,no,,Less than,,Inférieur à,,Weniger als,,Less than,,Meno di,,น้อยกว่า,,Menos que,,Menos de,,次の値より小さい：,,Minder dan,,Daha az,,Kurang dari,
Less than or equal to,,no,yes,no,,Less than or equal to,,Inférieur ou égal à,,Kleiner als oder gleich,,Less than or equal to,,Minore o uguale a,,น้อยกว่าหรือเท่ากับ,,Menor o igual que,,Menor ou igual a,,次の値以下：,,Minder dan of gelijk aan,,Küçük veya eşit,,Kurang dari atau sama dengan,
Line manager,,no,yes,no,,Line manager,,Manager direct,,Direkte Führungskraft,,Line manager,,Responsabile diretto,,หัวหน้างาน,,Manager directo,,Gestor direto,,ラインマネージャー,,Direct leidinggevende,,Birim yöneticisi,,Atasan langsung,
Linear curve,,no,yes,no,,Linear curve,,Courbe linéaire,,Lineare Kurve,,Linear curve,,Curva lineare,,เส้นโค้งเชิงเส้น,,Curva lineal,,Curva linear,,線形曲線,,Lineaire curve,,Doğrusal eğri,,Kurva linier,
Local worker category,,no,yes,no,,Local worker category,,Catégorie d'employé(e) locale,,Lokale Mitarbeiter:innengruppe,,Local worker category,,Categoria locale dei collaboratori,,ประเภทพนักงานภายในประเทศ,,Categoría local de colaborador/a,,Categoria de trabalhador local,,ローカル社員カテゴリー,,Lokale werknemercategorie,,Yerel Çalışan kategorisi,,Kategori pekerja lokal,
Location,,no,yes,no,,Location,,Localisation,,Standort,,Location,,Sede,,ที่ตั้ง,,Ubicación,,Localização,,場所,,Locatie,,Konum,,Lokasi,
Mapping configuration,,no,yes,no,,Mapping configuration,,Configuration du mapping,,Zuordnungskonfiguration,,Mapping configuration,,Configurazione mappatura,,การกำหนดค่าการแมป,,Configuración de asignación,,Configuração de mapeamento,,マッピング設定,,Mappingconfiguratie,,Eşleme yapılandırması,,Konfigurasi pemetaan,
Max target,,no,yes,no,,Max target,,Cible maximale,,Maximalziel,,Max target,,Target massimo,,เป้าหมายสูงสุด,,Objetivo máximo,,Meta máxima,,最大ターゲット,,Maximaal doel,,Maksimum hedef,,Target maksimum,
Max. score,,no,yes,no,,Max. score,,Score max.,,Max. Punktzahl,,Max. score,,Punteggio massimo,,คะแนนสูงสุด,,Puntuación máx.,,Pontuação máx.,,最高スコア,,,,Azami puan,,Skor maks.,
Maximum outcome,,no,yes,no,,Maximum outcome,,Résultat maximal,,Maximales Ergebnis,,Maximum outcome,,Risultato massimo,,ผลลัพธ์สูงสุด,,Resultado máximo,,Resultado máximo,,最大結果,,Maximaal resultaat,,Maksimum sonuç,,Hasil maksimum,
Maximum payout,,no,yes,no,,Maximum payout,,Paiement maximum,,Maximale Auszahlung,,Maximum payout,,Pagamento massimo,,การจ่ายเงินสูงสุด,,Pago máximo,,Pagamento máximo,,最大支払額,,Maximale uitbetaling,,Maksimum ödeme,,Pembayaran maksimum,
Measurement,,no,yes,no,,Measurement,,Mesure,,Messung,,Measurement,,Misurazione,,การวัด,,Medición,,Medição,,測定,,Meting,,Ölçüm,,Pengukuran,
Measurement criteria,,no,yes,no,,Measurement criteria,,Critères de mesure,,Messkriterien,,Measurement criteria,,Criteri di misurazione,,เกณฑ์การวัดผล,,Criterios de medición,,Critérios de medição,,測定基準,,Meetcriteria,,Ölçüm kriterleri,,Kriteria pengukuran,
Min target,,no,yes,no,,Min target,,Nombre minimal d'objectifs,,Mindestziel,,Min target,,Target minimo,,เป้าหมายขั้นต่ำ,,Objetivo mínimo,,Alvo mínimo,,最小ターゲット,,Min doel,,Minimum hedef,,Target minimum,
Minimum outcome,,no,yes,no,,Minimum outcome,,Résultat minimal,,Minimales Ergebnis,,Minimum outcome,,Risultato minimo,,ผลลัพธ์ขั้นต่ำ,,Resultado mínimo,,Resultado mínimo,,最小結果,,Minimaal resultaat,,Minimum sonuç,,Hasil minimum,
Model,,no,yes,no,,Model,,Modèle,,Modell,,Model,,Modello,,โมเดล,,Modelo,,Modelo,,モデル,,,,,,,
Moderation,,no,yes,no,,Moderation,,Modération,,,,Moderation,,Moderazione,,การกลั่นกรอง,,Moderación,,Moderação,,モデレーション,,Moderatie,,Denetleme,,Moderasi,
Non-conditional,,no,yes,no,,Non-conditional,,Non conditionnel,,Nicht-bedingt,,Non-conditional,,Non condizionale,,ไม่เป็นเงื่อนไข,,No condicional,,Não condicional,,無条件,,Niet-voorwaardelijk,,Koşulsuz,,Non-kondisional,
Nudge,,no,yes,no,,Nudge,,Notification d'encouragement,,Anstoß,,Nudge,,Promemoria,,แจ้งเตือน,,Sugerencia,,Lembrete,,ナッジ,,,,Dürtü,,Dorongan,
Organization,,no,yes,no,,Organization,,Organisation,,Organisation,,Organisation,,Organizzazione,,องค์กร,,Organización,,Organização,,組織,,Organisatie,,Organizasyon,,Organisasi,
Organizational goal,,no,yes,no,,Organizational goal,,Objectif organisationnel,,Organisatorisches Ziel,,Organisational goal,,Obiettivo organizzativo,,เป้าหมายขององค์กร,,Objetivo organizativo,,Objetivo organizacional,,組織の目標,,Organisatorisch doel,,Organizasyon hedefi,,Tujuan organisasi,
Organizational unit,,no,yes,no,,Organizational unit,,Unité organisationnelle,,Organisationseinheit,,Organisational unit,,Unità organizzativa,,หน่วยงาน,,Unidad organizativa,,Unidade organizacional,,組織単位,,Organisatorische eenheid,,Organizasyon birimi,,Unit organisasi,
Overall behavior rating,,no,yes,no,,Overall behavior rating,,Notation comportementale globale,,Gesamtverhaltensbewertung,,Overall behaviour rating,,Valutazione complessiva del comportamento,,คะแนนพฤติกรรมโดยรวม,,Valoración general del comportamiento,,Classificação geral de comportamento,,総合行動評価,,Algemene gedragsbeoordeling,,Genel davranış derecelendirmesi,,Penilaian perilaku secara keseluruhan,
Overall performance,,no,yes,no,,Overall performance,,Performance globale,,Gesamtleistung,,Overall performance,,Prestazioni complessive,,ผลการปฏิบัติงานโดยรวม,,Desempeño general,,Desempenho geral,,総合業績,,Algehele prestatie,,Genel performans,,Kinerja keseluruhan,
Overall performance rating,,no,yes,no,,Overall performance rating,,Notation de performance globale,,Gesamtleistungsbewertung,,Overall performance rating,,Valutazione complessiva delle prestazioni,,คะแนนการประเมินผลงานโดยรวม,,Valoración global del rendimiento,,Classificação geral de desempenho,,総合パフォーマンス評価,,Algehele prestatiebeoordeling,,Genel performans değerlendirmesi,,Penilaian kinerja keseluruhan,
Owner,,no,yes,no,,Owner,,Titulaire,,Zuständig,,Owner,,Proprietario,,เจ้าของ,,Propietario,,Proprietário,,オーナー,,Eigenaar,,Sahibi,,Pemilik,
Passport,,no,yes,no,,Passport,,Passeport,,,,Passport,,Passaporto,,หนังสือเดินทาง,,,,Passaporte,,,,Paspoort,,Pasaport,,Paspor,
Pay Intelligence,,no,yes,no,,Pay Intelligence,,Rémunération intelligente,,,,Pay Intelligence,,,,การจ่ายเงินอัจฉริยะ,,Inteligencia de pagos,,Inteligência salarial,,給与インテリジェンス,,Salarisintelligentie,,,,Efisiensi Pembayaran,
Pay Transparency,,no,yes,no,,Pay Transparency,,Rémunération transparente,,Gehaltstransparenz,,Pay Transparency,,Trasparenza salariale,,ความโปร่งใสในการชำระเงิน,,Transparencia de pagos,,Transparência salarial,,給与の透明性,,Salaristransparantie,,Ücret Şeffaflığı,,Transparansi Gaji,
Pay analysis,,no,yes,no,,Pay analysis,,Analyse de rémunération,,Vergütungsanalyse,,Pay analysis,,Analisi retributiva,,การวิเคราะห์ค่าตอบแทน,,Análisis de remuneración,,Análise de remuneração,,給与分析,,Salarisanalyse,,Ücret analizi,,Analisis gaji,
Pay information,,no,yes,no,,Pay information,,Informations de rémunération,,Gehaltsinformationen,,Pay information,,Informazioni sulla retribuzione,,ข้อมูลการจ่ายเงิน,,Información salarial,,Informações de remuneração,,給与情報,,Salarisinformatie,,Ücret bilgileri,,Informasi gaji,
Pay information requests,,no,yes,no,,Pay information requests,,Demandes d'informations sur la rémunération,,Anfragen zu Vergütungsinformationen,,Pay information requests,,Richieste di informazioni sulla retribuzione,,คำขอข้อมูลค่าตอบแทน,,Solicitudes de información salarial,,Pedidos de informação salarial,,給与情報のリクエスト,,Verzoeken om salarisinformatie,,Ödeme bilgisi istekleri,,Permintaan informasi pembayaran,
Pay range,,no,yes,no,,Pay range,,Échelle salariale,,Gehaltsspanne,,Pay range,,Fascia di retribuzione,,ช่วงการจ่ายเงิน,,Rango salarial,,Intervalo salarial,,給与帯,,Salarisbereik,,Ücret aralığı,,Rentang gaji,
Payout,,no,yes,no,,Payout,,Paiement,,Auszahlung,,Payout,,Pagamento,,การจ่ายเงิน,,Pago,,Pagamento,,支払い,,Uitbetaling,,Ödeme,,Pembayaran,
Payout curve,,no,yes,no,,Payout curve,,Courbe de paiement,,Auszahlungskurve,,Payout curve,,Curva di pagamento,,เส้นโค้งการจ่ายเงิน,,Curva de pagos,,Curva de pagamento,,ペイアウトカーブ,,Uitbetalingscurve,,Ödeme eğrisi,,Kurva pembayaran,
Payroll,,no,yes,no,,Payroll,,Paie,,Lohnabrechnung,,Payroll,,Buste paga,,เงินเดือน,,Nómina,,Folha de Pagamento,,給与計算,,Loonadministratie,,Bordro,,Penggajian,
Peers,,no,yes,no,,Peers,,Pairs,,Kolleg:innen,,Peers,,Colleghi,,เพื่อนร่วมงาน,,Compañeros,,Pares,,ピア,,Collega's,,Eşdüzeyler,,Rekan kerja,
People day,,no,yes,no,,People day,,Journée des collaborateurs,,,,People day,,Giornata delle persone,,วันทรัพยากรบุคคล,,Día de personas,,Dia de pessoas,,ピープルデー,,,,İK günü,,Hari orang,
Performance Management,,no,yes,no,,Performance Management,,Gestion de la performance,,Leistungsverwaltung,,Performance Management,,Gestione delle prestazioni,,การจัดการประสิทธิภาพการทำงาน,,Gestión del desempeño,,Gestão de desempenho,,業績管理,,Prestatiebeheer,,Performans Yönetimi,,Manajemen Kinerja,
Performance check-ins,,no,yes,no,,Performance check-ins,,Check-ins de performance,,Leistungs-Check-ins,,Performance check-ins,,Check-in delle prestazioni,,การเช็คอินการปฏิบัติงาน,,Consultas de rendimiento,,Check-ins de desempenho,,業績チェックイン,,Prestatie check-ins,,Check-in görüşmeleri,,Check-in kinerja,
Performance rating,,no,yes,no,,Performance rating,,Evaluation de performance,,Leistungsbewertung,,Performance rating,,Valutazione delle prestazioni,,คะแนนประสิทธิภาพการทำงาน,,Calificación de desempeño,,Classificação de desempenho,,業績評価,,Prestatiebeoordeling,,Performans değerlendirmesi,,Penilaian kinerja,
Performance review,,no,yes,no,,Performance review,,Bilan de performance,,Leistungsbeurteilung,,Performance review,,Revisione delle prestazioni,,การประเมินผลการปฏิบัติงาน,,Evaluación de desempeño,,Avaliação de desempenho,,業績レビュー,,Prestatiebeoordeling,,Performans değerlendirmesi,,Evaluasi kinerja,
Personally identifiable information,,no,yes,no,,Personally identifiable information,,Informations personnelles identifiables,,Personenbezogene Daten,,Personally identifiable information,,Informazioni che consentono l'identificazione personale,,ข้อมูลระบุตัวตนส่วนบุคคล,,Información personal identificable,,Informação pessoalmente identificável,,個人識別情報,,Persoonlijk identificeerbare informatie,,Kişisel olarak tanımlanabilir bilgi,,Informasi yang dapat diidentifikasi secara pribadi,
Planner,,no,yes,no,,Planner,,Planificateur,,Planer,,Planner,,Strumento di pianificazione,,แพลนเนอร์,,,,Planeador,,,,,,Planlayıcı,,Perencana,
Position in pay range,,no,yes,no,,Position in pay range,,Position dans la fourchette salariale,,Position im Gehaltsband,,Position in pay range,,Posizione nella fascia retributiva,,ตำแหน่งในช่วงเงินเดือน,,Posición en la escala salarial,,Posição na faixa salarial,,給与レンジ内の位置,,Positie in salarisschaal,,Ücret aralığındaki pozisyon,,Posisi dalam rentang gaji,
Proposal management,,no,yes,no,,Proposal management,,Gestion des propositions,,Vorschlagsverwaltung,,Proposal management,,Gestione delle proposte,,การจัดการข้อเสนอ,,Gestión de propuestas,,Gestão de propostas,,提案管理,,Voorstellenbeheer,,Teklif yönetimi,,Manajemen proposal,
Prorated target bonus,,no,yes,no,,Prorated target bonus,,Prime cible au prorata,,Zeitanteiliges Zielbonus,,Prorated target bonus,,Bonus target riproporzionato,,เป้าหมายโบนัสแบบคำนวณตามสัดส่วน,,Prima objetivo prorrateada,,Bónus objetivo proporcional,,按分された目標ボーナス,,Naar rato berekende doelbonus,,Orantılı hedef prim,,Target bonus prorata,
Proxy,,no,yes,no,,Proxy,,Accès procuration,,Stellvertreter:in,,Proxy,,Delega,,พร็อกซี,,Representante,,Representação,,代理,,,,Vekil,,,
RTI request status,,no,yes,no,,RTI request status,,Statut des demandes RTI,,Status der RTI-Anforderung,,RTI request status,,Stato della richiesta RTI,,สถานะคำขอ RTI,,Estado de solicitud RTI,,Estado do pedido RTI,,RTIリクエストステータス,,Status RTI-aanvraag,,RTI talebi durumu,,Status permintaan RTI,
Range,,no,yes,no,,Range,,Plage,,Bereich,,Range,,Intervallo,,ช่วง,,Intervalo,,Intervalo,,範囲,,Bereik,,Aralık,,Rentang,
Rating,,no,yes,no,,Rating,,Notation,,Bewertung,,Rating,,Valutazione,,การจัดอันดับ,,Calificación,,Classificação,,評価,,Beoordeling,,Derecelendirme,,Penilaian,
Rating scale,,no,yes,no,,Rating scale,,Echelle de notation,,Bewertungsskala,,Rating scale,,Scala di valutazione,,มาตราวัดการให้คะแนน,,Escala de calificación,,Escala de classificação,,評価尺度,,Beoordelingsschaal,,Derecelendirme ölçeği,,Skala penilaian,
Request,,no,yes,no,,Request,,Demander,,Anfrage,,Request,,Richiesta,,ขอ,,Solicitud,,Pedido,,リクエスト,,Aanvraag,,Talep et,,Permintaan,
Request ID,,no,yes,no,,Request ID,,ID de demande,,Anfrage-ID,,Request ID,,ID richiesta,,รหัสคำขอ,,ID de solicitud,,ID do Pedido,,リクエストID,,Aanvraag-ID,,İstek Kimliği,,ID Permintaan,
Request date,,no,yes,no,,Request date,,Date de demande,,Antragsdatum,,Request date,,Data della richiesta,,วันที่คำขอ,,Fecha de solicitud,,Data do pedido,,申請日,,Aanvraagdatum,,Talep tarihi,,Tanggal permintaan,
Request pay information,,no,yes,no,,Request pay information,,Demander des informations sur la rémunération,,Gehaltsinformationen anfordern,,Request pay information,,Richiedi informazioni sulla retribuzione,,ขอข้อมูลการจ่ายเงิน,,Solicitar información sobre el salario,,Solicitar informações salariais,,給与情報をリクエストする,,Salarisinformatie aanvragen,,Ücret bilgisi talep et,,Minta informasi gaji,
